atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,candidate_count,source,candidate_set_complete,generation_mode
P02_G023_E52_A000,P02_G023,P02,M024,7657.827743478527,8397.75538315998,739.927639681453,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P02_G024_E52_A000,P02_G024,P02,M025,3171.532039958184,3566.4968611360646,394.96482117788037,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P02_G025_E52_A000,P02_G025,P02,M027,9420.176739588298,9883.142976969444,462.96623738114613,3,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P03_G000_E52_A000,P03_G000,P03,M001,807.1614003372633,1954.6735065821129,1147.5121062448495,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P03_G001_E52_A000,P03_G001,P03,M002,1169.6403334902727,1232.0988487350032,62.458515244730506,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P03_G002_E52_A000,P03_G002,P03,M002,1246.1641088511385,1646.057325684367,399.8932168332285,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P03_G003_E52_A000,P03_G003,P03,M003,805.2439655639018,1424.556482434358,619.3125168704562,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P03_G004_E52_A000,P03_G004,P03,M004,712.9294036153034,1482.6790692836205,769.7496656683171,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P03_G005_E52_A000,P03_G005,P03,M006,790.6092964510069,1204.9708623146255,414.3615658636186,1,E52_MERGE_BACK,False,LAZY_FEASIBILITY_FIRST
P03_G006_E52_A000,P03_G006,P03,M007,2528.001633700186,2896.2311259847656,368.22949228457946,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P03_G007_E52_A000,P03_G007,P03,M009,834.8733598094886,1791.3170636205425,956.4437038110539,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P03_G008_E52_A000,P03_G008,P03,M010,3870.674419072423,4715.107651000835,844.4332319284122,1,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P03_G009_E52_A000,P03_G009,P03,M011,4116.85190024332,4746.087057531303,629.2351572879825,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P03_G010_E52_A000,P03_G010,P03,M012,5942.660060878543,6534.076664992321,591.4166041137778,3,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P03_G011_E52_A000,P03_G011,P03,M013,743.855314875907,1294.9711443375293,551.1158294616223,3,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P03_G012_E52_A000,P03_G012,P03,M014,5914.316932530872,5939.259987389667,24.94305485879522,3,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P03_G013_E52_A000,P03_G013,P03,M014,5947.227447308978,6358.32155332256,411.09410601358195,2,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P03_G014_E52_A000,P03_G014,P03,M014,6366.289013241872,6391.232068100667,24.943054858794312,3,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P03_G015_E52_A000,P03_G015,P03,M017,2984.7251051508374,3889.383813177553,904.6587080267154,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P03_G016_E52_A000,P03_G016,P03,M019,5121.593339776678,6121.514573210624,999.9212334339463,1,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P03_G017_E52_A000,P03_G017,P03,M020,2500.56368944498,2925.5285106228607,424.9648211778808,2,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P03_G018_E52_A000,P03_G018,P03,M021,5313.624044076422,6085.182395741032,771.5583516646102,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P03_G019_E52_A000,P03_G019,P03,M022,7353.713579944701,7378.656634803497,24.94305485879522,2,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P03_G020_E52_A000,P03_G020,P03,M022,7386.624094722808,7933.620015515035,546.9959207922275,1,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P03_G021_E52_A000,P03_G021,P03,M022,7941.587475434347,7966.530530293142,24.94305485879522,2,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P03_G022_E52_A000,P03_G022,P03,M023,7431.603522964426,7788.218134216519,356.6146112520928,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P03_G023_E52_A000,P03_G023,P03,M024,7657.827743478527,8397.75538315998,739.927639681453,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P03_G024_E52_A000,P03_G024,P03,M025,3171.532039958184,3566.4968611360646,394.96482117788037,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P03_G025_E52_A000,P03_G025,P03,M027,9420.176739588298,9883.142976969444,462.96623738114613,3,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
