box_id,sortie_id,service_id,delivery_time_s,expected_deadline_s,first_deadline_s,hard_deadline_s,hard_deadline_ok,normalized_delivery_time,tag,group_id
S007-WAT-02,M014,S007,3506.7179646833692,3600.0,,,True,0.9740883235231581,A11,G1
S007-FOD-01,M015,S007,1141.357661336819,7200.0,,,True,0.15852189740789155,A11,G1
S007-WAT-01,M015,S007,1141.357661336819,3600.0,3600.0,3600.0,True,0.3170437948157831,A11,G1
S007-MED-01,M016,S007,1141.357661336819,3600.0,3600.0,3600.0,True,0.3170437948157831,A11,G1
S007-HYG-01,M016,S007,1141.357661336819,10800.0,,,True,0.10568126493859437,A11,G1
S008-MED-01,M017,S008,5088.697180446011,7200.0,7200.0,7200.0,True,0.7067634972841682,A11,G1
S008-HYG-01,M017,S008,5088.697180446011,14400.0,,,True,0.3533817486420841,A11,G1
S008-FOD-01,M017,S008,5088.697180446011,10800.0,,,True,0.4711756648561121,A11,G1
S008-WAT-02,M017,S008,5088.697180446011,7200.0,,,True,0.7067634972841682,A11,G1
S008-WAT-01,M017,S008,5088.697180446011,7200.0,7200.0,7200.0,True,0.7067634972841682,A11,G1
S009-MED-01,M018,S009,5675.164902672477,10800.0,10800.0,10800.0,True,0.525478231728933,A11,G1
S009-FOD-01,M018,S009,5675.164902672477,14400.0,,,True,0.3941086737966998,A11,G1
S009-WAT-01,M018,S009,5675.164902672477,10800.0,10800.0,10800.0,True,0.525478231728933,A11,G1
S010-WAT-01,M019,S010,2772.401689501103,3600.0,3600.0,3600.0,True,0.7701115804169731,A11,G1
S010-MED-01,M020,S010,2418.4516334244477,3600.0,3600.0,3600.0,True,0.6717921203956799,A11,G1
S010-FOD-01,M020,S010,2418.4516334244477,7200.0,,,True,0.33589606019783996,A11,G1
S011-MED-01,M021,S011,4036.409962514407,10800.0,10800.0,10800.0,True,0.37374166319577845,A11,G2
S011-FOD-01,M021,S011,4036.409962514407,14400.0,,,True,0.28030624739683385,A11,G2
S011-WAT-01,M021,S011,4036.409962514407,10800.0,10800.0,10800.0,True,0.37374166319577845,A11,G2
S012-MED-01,M022,S012,2478.5741918068984,7200.0,3600.0,3600.0,True,0.3442464155287359,A11,G1
S012-FOD-01,M022,S012,2478.5741918068984,7200.0,,,True,0.3442464155287359,A11,G1
S012-WAT-01,M022,S012,2478.5741918068984,3600.0,3600.0,3600.0,True,0.6884928310574718,A11,G1
S013-MED-01,M023,S013,1062.7684734798056,3600.0,3600.0,3600.0,True,0.29521346485550154,A11,G1
S013-FOD-01,M023,S013,1062.7684734798056,7200.0,,,True,0.14760673242775077,A11,G1
S013-WAT-01,M023,S013,1062.7684734798056,3600.0,3600.0,3600.0,True,0.29521346485550154,A11,G1
S014-MED-01,M024,S014,2752.9030452691195,7200.0,3600.0,3600.0,True,0.38234764517626657,A11,G1
S014-FOD-01,M024,S014,2752.9030452691195,7200.0,,,True,0.38234764517626657,A11,G1
S014-WAT-01,M024,S014,2752.9030452691195,3600.0,3600.0,3600.0,True,0.7646952903525331,A11,G1
S015-MED-01,M025,S015,4844.8041801601485,7200.0,7200.0,7200.0,True,0.6728894694666873,A11,G1
S015-FOD-01,M025,S015,4844.8041801601485,14400.0,,,True,0.33644473473334363,A11,G1
S015-WAT-01,M025,S015,4844.8041801601485,10800.0,10800.0,10800.0,True,0.4485929796444582,A11,G1
