kind,task_id,block,start_s,end_s,source_resource_id,resource_id,group_id
RUAV,A11_Q3_001_R002,4,1313.9619259970377,3702.534476677986,R02,G1-RUAV-01,G1
RUAV,A11_Q3_001_R005,2,4774.293725828648,7190.9238146026655,R01,G1-RUAV-01,G1
REC,A11_Q3_001_R002,4,1493.9619259970377,4126.258047377858,REC-02,G1-REC-01,G1
REC,A11_Q3_001_R005,2,4954.293725828648,7621.478724446202,REC-05,G1-REC-01,G1
TUAV_A,M015,1,0.0,1727.4353226736384,U02,G2-TUAV_A-01,G2
TUAV_A,M016,1,0.0,1727.4353226736384,U03,G2-TUAV_A-02,G2
TUAV_A,M003,1,0.0,2003.7375242139126,U04,G2-TUAV_A-03,G2
TUAV_A,M014,1,2425.36030334655,4092.7956260201886,U04,G2-TUAV_A-01,G2
TUAV_A,M005,1,3594.9073881499235,5857.561410327459,U01,G2-TUAV_A-02,G2
TUAV_A,M008,1,3665.3448881499235,5357.541139768049,U03,G2-TUAV_A-03,G2
TUAV_A,M010,1,3665.3448881499235,5357.541139768049,U02,G2-TUAV_A-04,G2
TUAV_B,M023,1,0.0,1510.4702802929446,U06,G2-TUAV_B-01,G2
TUAV_B,M025,1,3627.2198881499235,5455.508472170373,U06,G2-TUAV_B-01,G2
TUAV_B,M018,1,4584.353778975273,6142.796026369681,U05,G2-TUAV_B-02,G2
TUAV_B,M009,1,5455.508473170374,6971.683335141957,U06,G2-TUAV_B-01,G2
TUAV_C,M004,1,0.0,2107.812018638708,U08,G2-TUAV_C-01,G2
TUAV_C,M006,1,2107.812019638708,4543.923163975788,U08,G2-TUAV_C-01,G2
TUAV_C,M017,1,3591.0011381499235,5790.713222742098,U07,G2-TUAV_C-02,G2
TBAT_A,M016,1,360.0,2755.3603023465503,BAT-A-02,G2-TBAT_A-01,G2
TBAT_A,M015,1,360.0,2796.8031370124318,BAT-A-03,G2-TBAT_A-02,G2
TBAT_A,M003,1,360.0,3375.794916285326,BAT-A-04,G2-TBAT_A-03,G2
TBAT_A,M014,1,2755.36030334655,5133.745016267682,BAT-A-02,G2-TBAT_A-01,G2
TBAT_A,M005,1,3954.9073881499235,7248.373317733851,BAT-A-03,G2-TBAT_A-02,G2
TBAT_A,M010,1,4025.3448881499235,6470.362605601521,BAT-A-04,G2-TBAT_A-03,G2
TBAT_A,M008,1,4025.3448881499235,6491.064833876294,BAT-A-05,G2-TBAT_A-04,G2
TBAT_B,M023,1,390.0,2967.8481943910256,BAT-B-02,G2-TBAT_B-01,G2
TBAT_B,M025,1,4017.2198881499235,7122.059212145972,BAT-B-02,G2-TBAT_B-01,G2
TBAT_B,M018,1,4974.353778975273,7717.820592434051,BAT-B-04,G2-TBAT_B-02,G2
TBAT_B,M009,1,5815.508473170374,8433.30269278171,BAT-B-03,G2-TBAT_B-03,G2
TBAT_C,M004,1,480.0,4526.341325064868,BAT-C-01,G2-TBAT_C-01,G2
TBAT_C,M006,1,2587.812019638708,6974.390841662263,BAT-C-04,G2-TBAT_C-02,G2
TBAT_C,M017,1,4041.0011381499235,8204.636289847711,BAT-C-02,G2-TBAT_C-03,G2
RUAV,A11_Q3_001_R001,1,200.22014525047496,2420.973240573093,R01,G2-RUAV-01,G2
RUAV,A11_Q3_001_R003,1,2499.1224203901274,4717.915178864503,R01,G2-RUAV-01,G2
RUAV,A11_Q3_001_R004,1,3702.534476677986,7491.5822294705995,R02,G2-RUAV-02,G2
REC,A11_Q3_001_R001,1,380.22014525047496,2824.9098833225553,REC-01,G2-REC-01,G2
REC,A11_Q3_001_R003,1,2679.1224203901274,5119.1218468699935,REC-03,G2-REC-02,G2
REC,A11_Q3_001_R004,1,3882.534476677986,8081.223040640023,REC-04,G2-REC-01,G2
