atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,source,construction_guard_s
P01_GAMMA06_M003_00_A01_R04,P01_GAMMA06_M003_00,P01,M003,1186.7125,1234.9166666666667,48.20416666666665,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M003_00_A02_R00,P01_GAMMA06_M003_00,P01,M003,1234.9166666666667,1283.1208333333334,48.20416666666665,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M003_00_A02_R01,P01_GAMMA06_M003_00,P01,M003,1283.1208333333334,1331.325,48.20416666666665,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M003_00_A02_R02,P01_GAMMA06_M003_00,P01,M003,1331.325,1379.5291666666667,48.20416666666665,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M003_00_A02_R03,P01_GAMMA06_M003_00,P01,M003,1379.5291666666667,1427.7333333333333,48.20416666666665,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M003_00_A02_R04,P01_GAMMA06_M003_00,P01,M003,1427.7333333333333,1475.9375,48.20416666666665,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A00_R00,P01_GAMMA06_M004_00,P01,M004,569.0625,617.3859375,48.323437499999955,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A00_R01,P01_GAMMA06_M004_00,P01,M004,617.3859375,665.709375,48.32343750000007,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A00_R02,P01_GAMMA06_M004_00,P01,M004,665.709375,714.0328125,48.323437499999955,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A00_R03,P01_GAMMA06_M004_00,P01,M004,714.0328125,762.35625,48.32343750000007,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A00_R04,P01_GAMMA06_M004_00,P01,M004,762.35625,810.6796875,48.323437499999955,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A01_R00,P01_GAMMA06_M004_00,P01,M004,810.6796875,859.003125,48.323437499999955,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A01_R01,P01_GAMMA06_M004_00,P01,M004,859.003125,907.3265625,48.32343750000007,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A01_R02,P01_GAMMA06_M004_00,P01,M004,907.3265625,955.65,48.323437499999955,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A01_R03,P01_GAMMA06_M004_00,P01,M004,955.65,1003.9734375,48.32343750000007,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A01_R04,P01_GAMMA06_M004_00,P01,M004,1003.9734375,1052.296875,48.323437499999955,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A02_R00,P01_GAMMA06_M004_00,P01,M004,1052.296875,1100.6203125,48.323437499999955,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A02_R01,P01_GAMMA06_M004_00,P01,M004,1100.6203125,1148.94375,48.323437499999955,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A02_R02,P01_GAMMA06_M004_00,P01,M004,1148.94375,1197.2671875,48.32343750000018,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
