atomic_task_id,site_id,preparation_start_s,service_start_s,service_end_s,uav_available_s
P01_GAMMA06_M015_00_A00,E52_60b76d98beea93305f35c25d,96.12296315341854,577.9843516784044,990.0468516784044,1589.1342353307505
P01_GAMMA06_M015_00_A00,E52_68694062ed2e2e792aeb51a9,105.66959068780176,577.9843516784044,990.0468516784044,1582.8680592530727
P01_GAMMA06_M015_00_A00,E52_6aa461eda22a4c53e6730e81,102.17389805288633,577.9843516784044,990.0468516784044,1578.4010558125487
P01_GAMMA06_M015_00_A00,E52_6dc095df8eb6475486134b5c,-56.07579670033431,577.9843516784044,990.0468516784044,1756.3203265748841
P01_GAMMA06_M015_00_A00,E52_76b4f0bdabd1ccab126282dd,123.21730838240364,577.9843516784044,990.0468516784044,1555.6547163041578
P01_GAMMA06_M015_00_A00,E52_7e5f4a4eaf9aa5b10576997a,-16.1352374599187,577.9843516784044,990.0468516784044,1704.8468350529743
P01_GAMMA06_M015_00_A00,E52_8ca7795ffa642a3b129c0a3d,37.038269158174444,577.9843516784044,990.0468516784044,1659.959103937404
P01_GAMMA06_M015_00_A00,E52_8d375985c45fff9288668cb3,13.988329606467573,577.9843516784044,990.0468516784044,1695.264272167496
P01_GAMMA06_M015_00_A00,E52_a3836b1674b2d70f748125c1,129.21291434068928,577.9843516784044,990.0468516784044,1555.79456261638
P01_GAMMA06_M015_00_A00,E52_a77602565c04dca5831f9b7a,72.63381221669391,577.9843516784044,990.0468516784044,1612.361568335346
P01_GAMMA06_M015_00_A00,E52_b544b4d7beda1d6ed7fbeefb,74.07080431867729,577.9843516784044,990.0468516784044,1614.5379846399383
P01_GAMMA06_M015_00_A00,E52_b60e4d2a4cdcd5801a5d757f,59.72411407569979,577.9843516784044,990.0468516784044,1635.6732402007055
P01_GAMMA06_M015_00_A00,E52_b7c433bb400c5a28313b13f0,97.35418959287557,577.9843516784044,990.0468516784044,1581.2516366175303
P01_GAMMA06_M015_00_A00,E52_be69bdf55826f2eb34075d09,-89.70342713543818,577.9843516784044,990.0468516784044,1790.5365088491808
P01_GAMMA06_M015_00_A00,E52_bfffb2993ede6e2e2bd9340b,-32.86919988815373,577.9843516784044,990.0468516784044,1726.9016198790773
P01_GAMMA06_M015_00_A00,E52_c0294c7ff44d44fc4ede8d97,51.27652141916019,577.9843516784044,990.0468516784044,1649.0039149291852
P01_GAMMA06_M015_00_A00,E52_c76d93c5902d0dc017f7065c,107.12193363807017,577.9843516784044,990.0468516784044,1568.61719208202
P01_GAMMA06_M015_00_A00,E52_d22cbe82615c6d2ee0ebf49f,49.81125323948578,577.9843516784044,990.0468516784044,1643.0194531894258
