partition_id,k,labels,groups,total_resource_units,total_shortage_units,inventory_feasible,workload_cv,required_TUAV_A,required_TUAV_B,required_TUAV_C,required_TBAT_A,required_TBAT_B,required_TBAT_C,required_RUAV,required_REC,shortage_TUAV_A,shortage_TUAV_B,shortage_TUAV_C,shortage_TBAT_A,shortage_TBAT_B,shortage_TBAT_C,shortage_RUAV,shortage_REC,redundancy_TUAV_A,redundancy_TUAV_B,redundancy_TUAV_C,redundancy_TBAT_A,redundancy_TBAT_B,redundancy_TBAT_C,redundancy_RUAV,redundancy_REC
Q4_K3_011,3,"[0, 0, 1, 0, 2, 2]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S013"", ""S015""], [""S004""], [""S010"", ""S011"", ""S012"", ""S014""]]",39,11,False,0.8482435819999573,6,4,3,7,6,5,4,4,2,2,1,1,2,1,2,0,2,2,1,1,2,1,2,1
Q4_K3_012,3,"[0, 0, 1, 1, 0, 2]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S007"", ""S008"", ""S009"", ""S010"", ""S012"", ""S013"", ""S014"", ""S015""], [""S004"", ""S006""], [""S011""]]",35,7,False,1.0606835198579059,5,4,3,6,5,5,3,4,1,2,1,0,1,1,1,0,1,2,1,0,1,1,1,1
Q4_K3_013,3,"[0, 0, 1, 1, 1, 2]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S007"", ""S008"", ""S009"", ""S013"", ""S015""], [""S004"", ""S006"", ""S010"", ""S012"", ""S014""], [""S011""]]",40,13,False,0.7841974398732972,7,5,3,7,7,5,3,3,3,3,1,1,3,1,1,0,3,3,1,1,3,1,1,0
Q4_K3_014,3,"[0, 0, 1, 1, 2, 0]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S007"", ""S008"", ""S009"", ""S011"", ""S013"", ""S015""], [""S004"", ""S006""], [""S010"", ""S012"", ""S014""]]",41,13,False,0.7394821377163365,7,5,3,7,6,5,4,4,3,3,1,1,2,1,2,0,3,3,1,1,2,1,2,1
Q4_K3_015,3,"[0, 0, 1, 1, 2, 1]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S007"", ""S008"", ""S009"", ""S013"", ""S015""], [""S004"", ""S006"", ""S011""], [""S010"", ""S012"", ""S014""]]",41,13,False,0.6946620648955856,7,5,3,7,6,5,4,4,3,3,1,1,2,1,2,0,3,3,1,1,2,1,2,1
Q4_K3_016,3,"[0, 0, 1, 1, 2, 2]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S007"", ""S008"", ""S009"", ""S013"", ""S015""], [""S004"", ""S006""], [""S010"", ""S011"", ""S012"", ""S014""]]",42,14,False,0.6960727894526195,7,5,3,7,7,5,4,4,3,3,1,1,3,1,2,0,3,3,1,1,3,1,2,1
Q4_K3_017,3,"[0, 0, 1, 2, 0, 0]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S007"", ""S008"", ""S009"", ""S010"", ""S011"", ""S012"", ""S013"", ""S014"", ""S015""], [""S004""], [""S006""]]",34,6,False,1.0933863369411165,5,3,3,6,5,5,3,4,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1
Q4_K3_018,3,"[0, 0, 1, 2, 0, 1]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S007"", ""S008"", ""S009"", ""S010"", ""S012"", ""S013"", ""S014"", ""S015""], [""S004"", ""S011""], [""S006""]]",35,7,False,1.0495723182739682,5,4,3,6,5,5,3,4,1,2,1,0,1,1,1,0,1,2,1,0,1,1,1,1
Q4_K3_019,3,"[0, 0, 1, 2, 0, 2]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S007"", ""S008"", ""S009"", ""S010"", ""S012"", ""S013"", ""S014"", ""S015""], [""S004""], [""S006"", ""S011""]]",33,5,False,1.0486323611795318,5,3,3,6,4,5,3,4,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1
Q4_K3_020,3,"[0, 0, 1, 2, 1, 0]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S007"", ""S008"", ""S009"", ""S011"", ""S013"", ""S015""], [""S004"", ""S010"", ""S012"", ""S014""], [""S006""]]",39,12,False,0.7722892484762409,7,5,3,7,6,5,3,3,3,3,1,1,2,1,1,0,3,3,1,1,2,1,1,0
