kind,task_id,block,start_s,end_s,source_resource_id,resource_id,group_id
TUAV_C,M022,1,9361.291158092343,11106.486316287886,U08,G1-TUAV_C-01,G1
TBAT_A,M006,2,360.0,2719.582225226592,BAT-A-02,G1-TBAT_A-01,G1
TBAT_A,M002,1,390.0,3259.0987512700212,BAT-A-03,G1-TBAT_A-02,G1
TBAT_A,M001,2,390.0,3785.620124430129,BAT-A-04,G1-TBAT_A-03,G1
TBAT_A,M025,1,2993.754548707499,5336.392327654153,BAT-A-05,G1-TBAT_A-01,G1
TBAT_A,M020,1,2993.7545487074995,5413.885813153869,BAT-A-06,G1-TBAT_A-04,G1
TBAT_A,M013,3,5605.605118084892,8085.605672012793,BAT-A-01,G1-TBAT_A-01,G1
TBAT_B,M003,2,390.0,3463.8834966823283,BAT-B-01,G1-TBAT_B-01,G1
TBAT_B,M004,1,400.00600785663426,3517.496705281362,BAT-B-02,G1-TBAT_B-02,G1
TBAT_B,M008,0,2186.699942778546,4137.851130591968,BAT-B-03,G1-TBAT_B-03,G1
TBAT_B,M007,2,2946.7677962152607,5455.518547453754,BAT-B-04,G1-TBAT_B-04,G1
TBAT_B,M011,2,3463.883497682328,6808.67711790483,BAT-B-01,G1-TBAT_B-01,G1
TBAT_B,M010,1,4424.593485223049,7968.571860848385,BAT-B-02,G1-TBAT_B-02,G1
TBAT_B,M012,3,5580.978864066406,8684.218708952465,BAT-B-03,G1-TBAT_B-03,G1
TBAT_B,M014,1,6459.918261745025,9050.403515268303,BAT-B-04,G1-TBAT_B-04,G1
TBAT_B,M023,2,8411.454162977894,10840.247416024953,BAT-B-01,G1-TBAT_B-01,G1
TBAT_B,M024,2,8419.346761929097,11549.263744233875,BAT-B-02,G1-TBAT_B-02,G1
TBAT_B,M026,0,9846.831066424233,11684.65851832881,BAT-B-03,G1-TBAT_B-03,G1
TBAT_B,M027,3,10935.93258926739,13466.092867088815,BAT-B-01,G1-TBAT_B-01,G1
TBAT_C,M005,1,450.0,3016.666512952046,BAT-C-01,G1-TBAT_C-01,G1
TBAT_C,M016,0,480.0,3138.8507239438864,BAT-C-02,G1-TBAT_C-02,G1
TBAT_C,M018,0,1944.170392878965,4381.16612647578,BAT-C-03,G1-TBAT_C-03,G1
TBAT_C,M017,1,3110.6913428804282,7225.440542014948,BAT-C-04,G1-TBAT_C-01,G1
TBAT_C,M009,1,3372.3407857579296,7535.975937455717,BAT-C-01,G1-TBAT_C-02,G1
TBAT_C,M019,1,5188.503362519136,9482.539589119178,BAT-C-02,G1-TBAT_C-03,G1
TBAT_C,M021,2,7542.4196259311675,11619.399458240394,BAT-C-03,G1-TBAT_C-01,G1
TBAT_C,M022,1,9781.291158092343,12965.478007381513,BAT-C-04,G1-TBAT_C-02,G1
RUAV,Q3E7_001_R001,1,0.0,2512.131081984592,R01,G1-RUAV-01,G1
RUAV,Q3E7_001_R002,2,150.9505586261875,2722.7689519671535,R02,G1-RUAV-02,G1
RUAV,Q3E7_001_R003,2,2512.131081984592,5466.833333712217,R01,G1-RUAV-01,G1
RUAV,Q3E7_001_R004,1,2722.7689519671535,8136.411964690182,R02,G1-RUAV-02,G1
RUAV,Q3E7_001_R005,3,5466.833333712217,7232.198946300371,R01,G1-RUAV-01,G1
RUAV,Q3E7_001_R006,2,7232.198946300371,9705.728600755003,R01,G1-RUAV-01,G1
RUAV,Q3E7_001_R007,2,8136.411964690184,10284.093787581494,R02,G1-RUAV-02,G1
RUAV,Q3E7_001_R008,1,9705.728600755003,11267.014853002049,R01,G1-RUAV-01,G1
RUAV,Q3E7_001_R009,3,10855.376541403442,12215.645974902067,R02,G1-RUAV-02,G1
REC,Q3E7_001_R001,1,180.0,2945.2319216581136,REC-01,G1-REC-01,G1
REC,Q3E7_001_R002,2,330.9505586261875,3169.2391854277744,REC-02,G1-REC-02,G1
REC,Q3E7_001_R003,2,2692.131081984592,5960.269751506722,REC-03,G1-REC-03,G1
REC,Q3E7_001_R004,1,2902.7689519671535,8927.9699856611,REC-04,G1-REC-04,G1
REC,Q3E7_001_R005,3,5646.833333712217,7577.12082102311,REC-05,G1-REC-01,G1
REC,Q3E7_001_R006,2,7412.198946300371,10140.876433077143,REC-06,G1-REC-02,G1
REC,Q3E7_001_R007,2,8316.411964690184,10677.915123842202,REC-01,G1-REC-01,G1
REC,Q3E7_001_R008,1,9885.728600755003,11597.04747754958,REC-02,G1-REC-03,G1
REC,Q3E7_001_R009,3,11035.376541403442,12426.969128036137,REC-03,G1-REC-01,G1
TUAV_A,M015,4,0.0,1219.0749211193188,U01,G2-TUAV_A-01,G2
TUAV_B,M028,4,9890.70018690048,10956.171839127966,U05,G2-TUAV_B-01,G2
TBAT_A,M015,4,360.0,2051.529604963962,BAT-A-01,G2-TBAT_A-01,G2
TBAT_B,M028,4,10220.70018690048,12009.894131189041,BAT-B-04,G2-TBAT_B-01,G2
