site_id,min_access_margin_db,backhaul_margin_db,min_twohop_margin_db,outbound_time_s,return_time_s,horizontal_time_s,flight_energy_kwh,setup_energy_kwh,service_energy_kwh,total_energy_kwh,energy_margin_kwh,return_soc,climb_out_m,climb_back_m,desc_out_m,desc_back_m,cruise_alt_m,horizontal_distance_m,max_dem_on_route_m,setup_time_s,earliest_ready_s,required_transport_shift_s,as_is_timing_feasible,atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s
E52_eab18c460278cfbad2c20da0,5.839199789598638,7.760329046990023,5.839199789598638,212.31476099060268,226.15454090800176,341.5908424768108,0.12388533452538679,0.009166666666666667,0.1256120879485945,0.258664089140648,2.3013359108593523,0.9191674721435475,166.07735900878907,0.0,0.0,166.07735900878907,293.77735900878906,2561.931318576081,213.8477783203125,30.0,422.3147609906027,0.0,1,P02_G013_E52_A000,P02_G013,P02,M014,5947.227447308978,6358.32155332256,411.09410601358195
E52_eab18c460278cfbad2c20da0,8.449186896824372,7.760329046990023,7.760329046990023,212.31476099060268,226.15454090800176,341.5908424768108,0.12388533452538679,0.009166666666666667,0.007621488984631596,0.14067349017668507,2.4193265098233154,0.9560395343197859,166.07735900878907,0.0,0.0,166.07735900878907,293.77735900878906,2561.931318576081,213.8477783203125,30.0,422.3147609906027,0.0,1,P02_G014_E52_A000,P02_G014,P02,M014,6366.289013241872,6391.232068100667,24.943054858794312
E52_47db2d0d55c92154c779a4c9,3.0205906267075733,16.45726286038159,3.0205906267075733,312.62709924858126,351.3219092257948,393.08533863388124,0.16685347284684848,0.009166666666666667,0.30553148799370583,0.48155162750722097,2.0784483724927796,0.8495151164039935,464.3377197265625,0.0,0.0,464.3377197265625,592.0377197265625,2948.1400397541092,295.61395263671875,30.0,522.6270992485813,0.0,1,P02_G016_E52_A000,P02_G016,P02,M019,5121.593339776678,6121.514573210624,999.9212334339463
E52_214ce9a3b3bd3fa9c582335a,0.14955749359387482,15.138353346483314,0.14955749359387482,331.46735474952504,365.31699057309277,459.8368945576438,0.1830074384559416,0.009166666666666667,0.2764234941192742,0.4685975992418825,2.091402400758118,0.8535632502369117,406.1956298828125,0.0,0.0,406.1956298828125,533.8956298828125,3448.7767091823284,283.8956298828125,30.0,541.467354749525,0.0,1,P02_G015_E52_A000,P02_G015,P02,M017,2984.7251051508374,3889.383813177553,904.6587080267154
E52_214ce9a3b3bd3fa9c582335a,9.466834534918547,15.138353346483314,9.466834534918547,331.46735474952504,365.31699057309277,459.8368945576438,0.1830074384559416,0.009166666666666667,0.1298503620265747,0.322024467149183,2.2379755328508173,0.8993673540158803,406.1956298828125,0.0,0.0,406.1956298828125,533.8956298828125,3448.7767091823284,283.8956298828125,30.0,541.467354749525,0.0,1,P02_G017_E52_A000,P02_G017,P02,M020,2500.56368944498,2925.5285106228607,424.9648211778808
E52_b677873645e212a13901ede2,1.2512697614083237,9.230718628911887,1.2512697614083237,575.9444140089429,616.0268887810784,911.3939793850733,0.3339048259552679,0.009166666666666667,0.23575394078640868,0.5788254334083432,1.9811745665916574,0.8191170520598927,480.989697265625,0.0,0.0,480.989697265625,608.689697265625,6835.45484538805,390.4056396484375,30.0,785.9444140089429,0.0,1,P02_G018_E52_A000,P02_G018,P02,M021,5313.624044076422,6085.182395741032,771.5583516646102
E52_eab18c460278cfbad2c20da0,8.401276263353054,7.760329046990023,7.760329046990023,212.31476099060268,226.15454090800176,341.5908424768108,0.12388533452538679,0.009166666666666667,0.007621488984631874,0.14067349017668535,2.419326509823315,0.9560395343197858,166.07735900878907,0.0,0.0,166.07735900878907,293.77735900878906,2561.931318576081,213.8477783203125,30.0,422.3147609906027,0.0,1,P02_G019_E52_A000,P02_G019,P02,M022,7353.713579944701,7378.656634803497,24.94305485879522
E52_eab18c460278cfbad2c20da0,5.839199789598638,7.760329046990023,5.839199789598638,212.31476099060268,226.15454090800176,341.5908424768108,0.12388533452538679,0.009166666666666667,0.16713764246429175,0.3001896436563452,2.2598103563436553,0.9061907363573921,166.07735900878907,0.0,0.0,166.07735900878907,293.77735900878906,2561.931318576081,213.8477783203125,30.0,422.3147609906027,0.0,1,P02_G020_E52_A000,P02_G020,P02,M022,7386.624094722808,7933.620015515035,546.9959207922275
E52_eab18c460278cfbad2c20da0,8.449186896824372,7.760329046990023,7.760329046990023,212.31476099060268,226.15454090800176,341.5908424768108,0.12388533452538679,0.009166666666666667,0.007621488984631874,0.14067349017668535,2.419326509823315,0.9560395343197858,166.07735900878907,0.0,0.0,166.07735900878907,293.77735900878906,2561.931318576081,213.8477783203125,30.0,422.3147609906027,0.0,1,P02_G021_E52_A000,P02_G021,P02,M022,7941.587475434347,7966.530530293142,24.94305485879522
E52_aaa387ee3ee3170bd804334d,7.017439111244244,18.409477866986336,7.017439111244244,263.5215778829557,299.2286101502083,312.8009621623957,0.13801933350380158,0.009166666666666667,0.1089655756603617,0.2561515758308299,2.3038484241691704,0.9199526325528656,428.48438720703126,0.0,0.0,428.48438720703126,556.1843872070312,2346.0072162179677,386.9435729980469,30.0,473.5215778829557,0.0,1,P02_G022_E52_A000,P02_G022,P02,M023,7431.603522964426,7788.218134216519,356.6146112520928
E52_beb70ec57fd2d66bf65b827f,1.6281698264162543,2.43785423226241,1.6281698264162543,429.6587378248194,468.09544538504076,628.6972302883107,0.2418430061920666,0.009166666666666667,0.22608900101377732,0.4770986738725106,2.08290132612749,0.8509066644148404,461.24049072265626,0.0,0.0,461.24049072265626,588.9404907226562,4715.22922716233,538.9404907226562,30.0,639.6587378248194,0.0,1,P02_G023_E52_A000,P02_G023,P02,M024,7657.827743478527,8397.75538315998,739.927639681453
E52_9026ce0d2a5dd9a75ef73c8e,0.8353766427972573,6.720084116703532,0.8353766427972573,248.61637070099954,267.37077642202814,384.70630707582717,0.14290187810434732,0.009166666666666667,0.12068369535990789,0.27275224013092186,2.2872477598690786,0.9147649249590869,225.05286865234376,0.0,0.0,225.05286865234376,352.75286865234375,2885.297303068704,302.75286865234375,30.0,458.61637070099954,0.0,1,P02_G024_E52_A000,P02_G024,P02,M025,3171.532039958184,3566.4968611360646,394.96482117788037
E52_76b4f0bdabd1ccab126282dd,5.771840641351304,17.180198899819032,5.771840641351304,244.7670432960008,265.6078646257534,364.489158613486,0.13866967590706417,0.009166666666666667,0.14146190586646132,0.28929824844019214,2.2707017515598085,0.90959429736244,250.08985595703126,0.0,0.0,250.08985595703126,377.78985595703125,2733.6686896011447,241.2421875,30.0,454.7670432960008,0.0,1,P02_G025_E52_A000,P02_G025,P02,M027,9420.176739588298,9883.142976969444,462.96623738114613
