pareto_id,sortie_id,uav_id,time,phase,x,y,z,distance_to_G01,los,L_fspl,L_path,L_max,M_C,M_C_LOS,direct_available
P02,M002,U02,1392.2959528222707,descent,322896.2631029097,2549459.956216613,399.33240872706165,5746.975364224998,0,115.24301154285675,125.24301154285675,122.0,-3.243011542856749,6.756988457143251,0
P02,M002,U02,1392.372182937161,descent,322885.27077440335,2549449.76348317,399.00270690298953,5731.984546916881,0,115.22032505213751,125.22032505213751,122.0,-3.220325052137511,6.779674947862489,0
P02,M002,U02,1392.4484130520511,descent,322874.278445897,2549439.5707497266,398.67300507891736,5716.993748359696,0,115.1975791803389,125.1975791803389,122.0,-3.1975791803389058,6.802420819661094,0
P02,M002,U02,1392.5246431669416,descent,322863.28611739055,2549429.3780162833,398.3433032548452,5702.002968701606,0,115.17477361594013,125.17477361594013,122.0,-3.1747736159401256,6.825226384059874,0
P02,M002,U02,1392.6008732818318,descent,322852.2937888842,2549419.1852828404,398.013601430773,5687.012208092468,0,115.15190804496389,125.15190804496389,122.0,-3.151908044963889,6.848091955036111,0
P02,M002,U02,1392.677103396722,descent,322841.3014603778,2549408.992549397,397.68389960670083,5672.021466682638,0,115.12898215094873,125.12898215094873,122.0,-3.1289821509487297,6.87101784905127,0
P02,M002,U02,1392.7533335116125,descent,322830.30913187144,2549398.7998159537,397.35419778262866,5657.030744625066,0,115.10599561492586,125.10599561492586,122.0,-3.1059956149258596,6.89400438507414,0
P02,M002,U02,1392.8295636265027,descent,322819.3168033651,2549388.607082511,397.0244959585565,5642.040042074322,0,115.08294811539118,125.08294811539118,122.0,-3.0829481153911757,6.917051884608824,0
P02,M002,U02,1392.905793741393,descent,322808.3244748587,2549378.4143490675,396.69479413448437,5627.049359185673,0,115.05983932827678,125.05983932827678,122.0,-3.05983932827678,6.94016067172322,0
P02,M002,U02,1392.9820238562834,descent,322797.3321463523,2549368.221615624,396.3650923104122,5612.0586961169565,0,115.03666892692662,125.03666892692662,122.0,-3.036668926926623,6.963331073073377,0
P02,M002,U02,1393.0582539711736,descent,322786.3398178459,2549358.0288821813,396.03539048634,5597.068053027826,0,115.01343658206757,125.01343658206757,122.0,-3.0134365820675697,6.98656341793243,0
P02,M002,U02,1393.1344840860638,descent,322775.34748933953,2549347.836148738,395.70568866226785,5582.077430078569,0,114.99014196177963,124.99014196177963,122.0,-2.990141961779628,7.009858038220372,0
P02,M002,U02,1393.2107142009543,descent,322764.35516083316,2549337.6434152946,395.3759868381957,5567.0868274321965,0,114.96678473147064,124.96678473147064,122.0,-2.9667847314706393,7.033215268529361,0
