pareto_id,gap_id,sortie_id,uav_id,start_s,end_s,duration_s,phase_start,phase_end,min_margin_db,cause
P02,18,M004,U05,1002.4327639761748,1244.586053000104,242.15328902392912,descent,handover_end,-2.7396286930284504,TERRAIN_BLOCKAGE
P02,19,M004,U05,1322.7485598746125,1383.910640184338,61.162080309725525,climb,cruise,-5.434226015558778,TERRAIN_BLOCKAGE
P02,20,M004,U05,1686.6105597625092,1686.988345704339,0.3777859418298703,descent,descent,-1.1933744790359526,TERRAIN_BLOCKAGE
P02,21,M005,U06,944.5052653007996,989.9345711944636,45.42930589366392,cruise,handover_start,-5.454177219446137,TERRAIN_BLOCKAGE
P02,22,M005,U06,1220.286966960956,1229.1915129392962,8.904545978340138,climb,handover_end,-5.452529324587204,TERRAIN_BLOCKAGE
P02,23,M005,U06,1230.060249132305,1230.114545144368,0.054296012063105,handover_end,handover_end,-3.0965553241203736,TERRAIN_BLOCKAGE
P02,24,M005,U06,1230.766097289125,1230.9832813373769,0.2171840482521929,handover_end,handover_end,-2.945141867767987,TERRAIN_BLOCKAGE
P02,25,M005,U06,1250.1050516777527,1276.810176454662,26.705124776909315,climb,cruise,-5.454177219446137,TERRAIN_BLOCKAGE
P02,26,M006,U08,1218.3947016514846,1220.286966960956,1.8922653094714408,cruise,cruise,-5.452529324587204,TERRAIN_BLOCKAGE
P02,27,M006,U08,1434.7394232082115,1446.230483934338,11.491060726126308,descent,descent,-5.4290277395881645,TERRAIN_BLOCKAGE
P02,28,M007,U03,861.3517515696519,895.3994149897057,34.04766342005382,cruise,handover_start,-1.775354393232817,TERRAIN_BLOCKAGE
P02,29,M007,U03,895.6953838415974,1112.723078480313,217.0276946387156,handover_start,handover_end,-2.512930070723627,TERRAIN_BLOCKAGE
P02,30,M007,U03,1118.1752605623876,1148.4815638191076,30.30630325671996,handover_end,cruise,-2.508307265209851,TERRAIN_BLOCKAGE
P02,31,M008,U04,853.9951509724783,1104.9663658274644,250.9712148549861,cruise,cruise,-1.7791733297825942,TERRAIN_BLOCKAGE
P02,32,M009,U06,2490.590996126304,2491.149835328575,0.5588392022709741,handover_start,handover_start,-2.512930070723627,TERRAIN_BLOCKAGE
P02,33,M009,U06,2721.668529534076,2723.714190797325,2.045661263248803,cruise,cruise,-2.508307265209851,TERRAIN_BLOCKAGE
P02,34,M009,U06,2951.3517482055067,2970.387915713338,19.036167507831124,descent,descent,-5.279933477860197,TERRAIN_BLOCKAGE
P02,35,M010,U08,1947.592905400444,1948.098503988844,0.5055985884002894,takeoff,takeoff,-1.2112739881184351,TERRAIN_BLOCKAGE
P02,36,M010,U08,2580.861768037357,2673.728538226216,92.86677018885894,cruise,handover_start,-6.204873602800717,TERRAIN_BLOCKAGE
P02,37,M010,U08,2991.8664341750523,3069.011385437141,77.14495126208885,climb,cruise,-6.204873602800717,TERRAIN_BLOCKAGE
P02,38,M011,U05,1893.5725907827475,1896.988345704339,3.4157549215915424,prep,prep,-1.1933744790359526,TERRAIN_BLOCKAGE
P02,39,M011,U05,2885.2167121000566,2904.990515723226,19.77380362316944,cruise,descent,-5.29033503545547,TERRAIN_BLOCKAGE
P02,40,M011,U05,2970.387915713338,3192.7745687142387,222.38665300090088,descent,handover_end,-5.452529324587204,TERRAIN_BLOCKAGE
P02,41,M011,U05,3230.0807562895097,3230.89555953193,0.8148032424201119,climb,cruise,-5.28643679343692,TERRAIN_BLOCKAGE
P02,42,M011,U05,3404.5103289861927,3428.239046863753,23.728717877560484,cruise,handover_start,-3.6448216255246138,TERRAIN_BLOCKAGE
P02,43,M011,U05,3589.741737677599,3593.923713186552,4.181975508953201,climb,handover_end,-3.643776298882216,TERRAIN_BLOCKAGE
P02,44,M011,U05,3621.86498800312,3631.212851995779,9.347863992659311,climb,cruise,-3.652433563921221,TERRAIN_BLOCKAGE
P02,45,M011,U05,4059.647556898371,4068.378502431709,8.730945533337945,descent,descent,-5.805216509221793,TERRAIN_BLOCKAGE
P02,46,M012,U06,3028.231738339576,3032.6701670852085,4.438428745632336,prep,prep,-6.204873602800717,TERRAIN_BLOCKAGE
P02,47,M012,U06,4068.378502431709,4083.5903218734647,15.21181944175578,cruise,descent,-5.805216509221793,TERRAIN_BLOCKAGE
P02,48,M012,U06,4136.354168935615,4154.57179395286,18.217625017244245,descent,handover_start,-5.801112632033352,TERRAIN_BLOCKAGE
P02,49,M012,U06,4346.354168935615,4350.919625620304,4.565456684688797,climb,handover_end,-5.801112632033352,TERRAIN_BLOCKAGE
P02,50,M012,U06,4403.000557688871,4479.403902730004,76.40334504113343,climb,cruise,-5.805216509221793,TERRAIN_BLOCKAGE
P02,51,M012,U06,4926.429932976206,4934.059532404327,7.629599428120855,descent,descent,-5.279933477860197,TERRAIN_BLOCKAGE
P02,52,M013,U05,4772.618310684546,5415.230736017608,642.6124253330627,cruise,cruise,-5.29033503545547,TERRAIN_BLOCKAGE
P02,53,M013,U05,5807.078208142694,5810.7566257454055,3.678417602711306,descent,descent,-1.6587909448326457,TERRAIN_BLOCKAGE
P02,54,M014,U04,1621.7405306885637,1623.553726563714,1.8131958751505408,prep,prep,-1.212061225594681,TERRAIN_BLOCKAGE
P02,55,M014,U04,2500.071961795141,2767.517820354617,267.44585855947616,cruise,cruise,-3.1823893147237072,TERRAIN_BLOCKAGE
P02,56,M015,U03,1655.593610495559,1656.230483934338,0.6368734387790482,prep,prep,-5.4290277395881645,TERRAIN_BLOCKAGE
P02,57,M015,U03,2491.149835328575,2773.1601691217807,282.0103337932055,cruise,cruise,-5.454177219446137,TERRAIN_BLOCKAGE
P02,58,M015,U03,3219.823867502093,3230.0807562895097,10.256888787416756,descent,descent,-5.28643679343692,TERRAIN_BLOCKAGE
P02,59,M016,U02,3587.427054228235,3589.741737677599,2.314683449363656,descent,descent,-3.643776298882216,TERRAIN_BLOCKAGE
P02,60,M017,U07,2576.759274123124,3020.382509108208,443.6232349850834,cruise,cruise,-6.204873602800717,TERRAIN_BLOCKAGE
P02,61,M018,U07,4127.0878227383055,4136.354168935615,9.266346197309758,cruise,cruise,-5.801112632033352,TERRAIN_BLOCKAGE
P02,62,M018,U07,4378.999074778544,4379.244823750322,0.2457489717780845,handover_start,handover_start,-0.0878047388853247,TERRAIN_BLOCKAGE
P02,63,M018,U07,4381.620397144176,4387.846037762555,6.225640618378748,handover_start,handover_start,-2.4315639600090577,TERRAIN_BLOCKAGE
P02,64,M018,U07,4390.713109099967,4403.000557688871,12.287448588904226,handover_start,handover_start,-5.805216509221793,TERRAIN_BLOCKAGE
P02,65,M018,U07,5081.9568588986185,5108.119148195445,26.1622892968262,return,return,-3.652433563921221,TERRAIN_BLOCKAGE
P02,66,M019,U08,4345.16776075213,4866.212424888253,521.0446641361232,cruise,descent,-5.801112632033352,TERRAIN_BLOCKAGE
P02,67,M019,U08,4934.059532404327,4975.551974877056,41.492442472728726,descent,handover_start,-5.279933477860197,TERRAIN_BLOCKAGE
P02,68,M019,U08,5330.059532404327,5341.613830547159,11.554298142831612,climb,handover_end,-5.279933477860197,TERRAIN_BLOCKAGE
P02,69,M019,U08,5415.230736017608,5434.800073547512,19.56933752990335,climb,cruise,-5.29033503545547,TERRAIN_BLOCKAGE
P02,70,M020,U07,5989.730199336906,5990.7566257454055,1.0264264084999013,takeoff,takeoff,-1.6587909448326457,TERRAIN_BLOCKAGE
P02,71,M020,U07,6436.757408891658,6439.865953627631,3.108544735972828,cruise,descent,-1.2112739881184351,TERRAIN_BLOCKAGE
P02,72,M020,U07,6513.422646318416,6515.666771060085,2.2441247416691112,descent,handover_start,-1.1933744790359526,TERRAIN_BLOCKAGE
P02,73,M020,U07,6801.422646318416,6802.332447910111,0.9098015916952136,climb,handover_end,-1.1933744790359526,TERRAIN_BLOCKAGE
P02,74,M020,U07,6862.754836259822,6864.889941170729,2.1351049109071027,climb,cruise,-1.2112739881184351,TERRAIN_BLOCKAGE
P02,75,M020,U07,6875.4987436968,6877.133433394214,1.6346896974137053,cruise,cruise,-1.6151659114742642,TERRAIN_BLOCKAGE
P02,76,M020,U07,6877.834014693105,6878.100902806968,0.2668881138633878,cruise,cruise,-2.1760925065976267,TERRAIN_BLOCKAGE
P02,77,M020,U07,6878.167624835435,6878.167624835435,0.0,cruise,cruise,-2.214551930890053,TERRAIN_BLOCKAGE
P02,78,M020,U07,6878.434512949299,6878.434512949299,0.0,cruise,cruise,-2.3679611030101317,TERRAIN_BLOCKAGE
P02,79,M020,U07,6879.668870475916,6884.272690440061,4.60381996414435,cruise,cruise,-5.433206355480664,TERRAIN_BLOCKAGE
P02,80,M020,U07,7211.334203384366,7221.851817191276,10.51761380690914,descent,descent,-1.7791733297825942,TERRAIN_BLOCKAGE
P02,81,M020,U07,7407.740331597924,7420.123294242056,12.382962644132022,return,return,-1.775354393232817,TERRAIN_BLOCKAGE
P02,82,M021,U08,6780.585269197615,7637.1049034506195,856.5196342530044,cruise,cruise,-5.805216509221793,TERRAIN_BLOCKAGE
P02,83,M022,U07,8203.649074822555,8211.002570450322,7.353495627767188,cruise,descent,-2.512930070723627,TERRAIN_BLOCKAGE
P02,84,M022,U07,8212.22815305495,8214.951669954122,2.7235168991719547,descent,descent,-0.8073105642495477,TERRAIN_BLOCKAGE
