site_id,x_m,y_m,agl_m,lon,lat,ground_elevation_m,z_amsl_m,backhaul_distance_m,backhaul_los,backhaul_margin_db,backhaul_robust_slack_db
E52_d22cbe82615c6d2ee0ebf49f,316738.86522827484,2548103.7434091195,250.0,109.21155448982981,23.03129841429253,295.2940368652344,545.2940368652344,,,,
E52_d3460088443e86b69235cf2f,317880.0,2551680.0,300.0,109.2222627532403,23.063713999669545,264.5746154785156,564.5746154785156,,,,
E52_d6d1511afdebb88632549a71,315960.0,2546880.0,300.0,109.20410283006015,23.020163194900988,390.60443115234375,690.6044311523438,3078.883856153453,True,16.177909036830457,10.177909036830457
E52_d7f1f5d49edaa9f52000c452,319800.0,2549880.0,250.0,109.2412089076858,23.047671283888093,278.08392333984375,528.0839233398438,4481.184083664544,True,12.917919470378578,6.917919470378578
E52_da1eeef61bb4fffd90feecd9,322560.0,2549040.0,300.0,109.26823452746109,23.040384002292374,296.10809326171875,596.1080932617188,,,,
E52_dbe1bedc9b83d29f34556dbd,320040.0,2549760.0,300.0,109.24356456498289,23.046613821564804,201.4153289794922,501.4153289794922,4430.612848536102,True,13.016499113861627,7.016499113861627
E52_dbec4f1422e98765afb262aa,316563.80070550786,2547630.7124856794,300.0,109.20990309760647,23.027008106998082,326.4205017089844,626.4205017089844,,,,
E52_dc4c132291b7b9525a26c82f,320355.47416829434,2548088.1087501324,150.0,109.24683792203126,23.03155222473767,194.6310272216797,344.6310272216797,,,,
E52_de2c36302e014a6d0284c896,316738.86522827484,2547983.7434091195,300.0,109.21156879005261,23.030214935434046,299.44464111328125,599.4446411132812,,,,
E52_e0cd6bab1a22c4530d9a254c,316563.80070550786,2547630.7124856794,50.0,109.20990309760647,23.027008106998082,326.4205017089844,376.4205017089844,,,,
E52_ea76d341ab82f2ebc1fa1efe,316738.86522827484,2547983.7434091195,100.0,109.21156879005261,23.030214935434046,299.44464111328125,399.44464111328125,,,,
E52_eab18c460278cfbad2c20da0,319743.55190287094,2547889.6991960923,100.0,109.2408915602407,23.029694481684732,193.77735900878906,293.77735900878906,,,,
E52_eb490529b308e18523949520,320280.0,2550120.0,300.0,109.24586403807506,23.049890308560858,210.3240203857422,510.3240203857422,,,,
E52_eddf192c3626d88d236d26e4,319743.55190287094,2548129.6991960923,200.0,109.24086342843457,23.031861473897973,152.66033935546875,352.66033935546875,,,,
E52_ede4029bd5e695a7a0c85289,319800.0,2549880.0,200.0,109.2412089076858,23.047671283888093,278.08392333984375,478.08392333984375,4477.217037329602,True,12.925612211179384,6.925612211179384
E52_f2fabdd802684ffd17ed2273,316563.80070550786,2547390.7124856794,200.0,109.20993171763863,23.02484114991118,280.4361877441406,480.4361877441406,,,,
E52_f4836ff0bfcbe7f74f580128,322920.0,2544840.0,300.0,109.27223017730131,23.00249938906903,469.97357177734375,769.9735717773438,,,,
E52_fb97bb829fc82a7376005525,323280.0,2545080.0,300.0,109.27571393075813,23.004704705803928,532.08837890625,832.08837890625,4668.8416901761075,True,12.561592200960149,6.561592200960149
E52_fd527d975e1813662620f82c,317117.7418444939,2549999.722260685,250.0,109.21502497153492,23.04845894963918,293.971435546875,543.971435546875,,,,
