rho,uav_type,service_id,payload_limit_kg,binding_constraint,roundtrip_energy_kwh,energy_margin_kwh,return_soc
0.1,B,S011,30.0,mass,1.183919324197343,2.4160806758026574,0.7040201689506642
0.1,B,S012,30.0,mass,3.0388737056611634,0.5611262943388367,0.24028157358470914
0.1,B,S013,30.0,mass,2.0143079296346444,1.5856920703653556,0.4964230175913389
0.1,B,S014,30.0,mass,2.3552338537164266,1.2447661462835735,0.41119153657089336
0.1,B,S015,30.0,mass,2.5444130861278484,1.0555869138721516,0.3638967284680379
0.1,C,S001,80.0,mass,3.0816703507901266,4.1183296492098735,0.6147912061512342
0.1,C,S002,78.59434385452651,energy,7.200000000000998,-9.974243653232406e-13,0.0999999999998753
0.1,C,S003,78.23099329467766,energy,7.200000000000999,-9.992007221626409e-13,0.09999999999987508
0.1,C,S004,74.88468066394788,energy,7.200000000000998,-9.974243653232406e-13,0.0999999999998753
0.1,C,S005,80.0,mass,5.292689896279932,1.907310103720068,0.33841376296500847
0.1,C,S006,80.0,mass,3.2533222222606155,3.9466777777393847,0.593334722217423
0.1,C,S007,80.0,mass,4.679425646924123,2.520574353075877,0.4150717941344846
0.1,C,S008,71.43798196789739,energy,7.200000000000995,-9.947598300641403e-13,0.09999999999987563
0.1,C,S009,80.0,mass,5.669462006564059,1.5305379934359413,0.29131724917949264
0.1,C,S010,80.0,mass,4.858662415328933,2.3413375846710673,0.3926671980838834
0.1,C,S011,80.0,mass,2.853202139268909,4.346797860731091,0.6433497325913864
0.1,C,S012,78.09297906691555,energy,7.200000000000996,-9.956480084838404e-13,0.09999999999987552
0.1,C,S013,80.0,mass,4.891412161486293,2.3085878385137075,0.3885734798142134
0.1,C,S014,80.0,mass,5.607619686836495,1.5923803131635053,0.29904753914543813
0.1,C,S015,80.0,mass,6.13298019198351,1.0670198080164903,0.23337747600206127
0.15,A,S001,25.0,mass,1.3126961049072723,2.5123038950927272,0.7082897544650506
0.15,A,S002,25.0,mass,3.0904181549535057,0.734581845046494,0.3132404100103321
0.15,A,S003,25.0,mass,3.1568158522602117,0.6681841477397881,0.29848536616439736
0.15,A,S004,25.0,mass,3.266710815706025,0.5582891842939746,0.27406426317643884
0.15,A,S005,25.0,mass,2.244884581101708,1.5801154188982918,0.501136759755176
0.15,A,S006,25.0,mass,1.389703563652124,2.4352964363478757,0.6911769858550836
0.15,A,S007,25.0,mass,2.017895792464923,1.807104207535077,0.5515787127855727
0.15,A,S008,25.0,mass,3.3871921605992137,0.43780783940078605,0.24729063097795256
0.15,A,S009,25.0,mass,2.386826189064769,1.438173810935231,0.46959418020782917
0.15,A,S010,25.0,mass,2.070648912866985,1.7543510871330148,0.53985579714067
0.15,A,S011,25.0,mass,1.219592732890757,2.6054072671092428,0.7289793926909429
0.15,A,S012,25.0,mass,3.131140320894202,0.6938596791057976,0.30419103980128837
0.15,A,S013,25.0,mass,2.0740896215792444,1.7509103784207554,0.5390911952046124
0.15,A,S014,25.0,mass,2.425600957984785,1.3993990420152147,0.46097756489227004
0.15,A,S015,25.0,mass,2.6192258775659223,1.2057741224340774,0.4179498049853506
0.15,B,S001,30.0,mass,1.2739272592195,2.1260727407805,0.6815181851951251
0.15,B,S002,30.0,mass,2.998731484757008,0.4012685152429918,0.25031712881074797
0.15,B,S003,30.0,mass,3.0643940237739073,0.33560597622609256,0.23390149405652316
0.15,B,S004,30.0,mass,3.1698171959520103,0.23018280404798963,0.20754570101199743
0.15,B,S005,30.0,mass,2.1782765840940703,1.2217234159059296,0.4554308539764824
0.15,B,S006,30.0,mass,1.3500429687676934,2.0499570312323065,0.6624892578080767
0.15,B,S007,30.0,mass,1.959741220407135,1.440258779592865,0.5100646948982163
0.15,B,S008,30.0,mass,3.2871588998491417,0.11284110015085824,0.17821027503771458
0.15,B,S009,30.0,mass,2.316353271218972,1.0836467287810279,0.420911682195257
0.15,B,S010,30.0,mass,2.0109619862815107,1.3890380137184892,0.49725950342962233
0.15,B,S011,30.0,mass,1.183919324197343,2.216080675802657,0.7040201689506642
0.15,B,S012,30.0,mass,3.0388737056611634,0.3611262943388365,0.24028157358470914
0.15,B,S013,30.0,mass,2.0143079296346444,1.3856920703653555,0.4964230175913389
0.15,B,S014,30.0,mass,2.3552338537164266,1.0447661462835733,0.41119153657089336
0.15,B,S015,30.0,mass,2.5444130861278484,0.8555869138721515,0.3638967284680379
0.15,C,S001,80.0,mass,3.0816703507901266,3.718329649209873,0.6147912061512342
0.15,C,S002,74.24172356007851,energy,6.800000000000994,-9.938716516444401e-13,0.1499999999998758
0.15,C,S003,73.75194527872097,energy,6.800000000000996,-9.965361869035405e-13,0.14999999999987546
0.15,C,S004,69.91384433270426,energy,6.8000000000009955,-9.956480084838404e-13,0.14999999999987557
0.15,C,S005,80.0,mass,5.292689896279932,1.5073101037200676,0.33841376296500847
0.15,C,S006,80.0,mass,3.2533222222606155,3.5466777777393843,0.593334722217423
0.15,C,S007,80.0,mass,4.679425646924123,2.1205743530758765,0.4150717941344846
0.15,C,S008,65.90239390966346,energy,6.800000000000999,-9.992007221626409e-13,0.14999999999987512
0.15,C,S009,80.0,mass,5.669462006564059,1.130537993435941,0.29131724917949264
0.15,C,S010,80.0,mass,4.858662415328933,1.941337584671067,0.3926671980838834
0.15,C,S011,80.0,mass,2.853202139268909,3.946797860731091,0.6433497325913864
0.15,C,S012,73.63654540356393,energy,6.800000000000999,-9.992007221626409e-13,0.14999999999987512
0.15,C,S013,80.0,mass,4.891412161486293,1.9085878385137072,0.3885734798142134
0.15,C,S014,80.0,mass,5.607619686836495,1.192380313163505,0.29904753914543813
0.15,C,S015,80.0,mass,6.13298019198351,0.66701980801649,0.23337747600206127
0.2,A,S001,25.0,mass,1.3126961049072723,2.2873038950927276,0.7082897544650506
0.2,A,S002,25.0,mass,3.0904181549535057,0.5095818450464944,0.3132404100103321
0.2,A,S003,25.0,mass,3.1568158522602117,0.4431841477397884,0.29848536616439736
0.2,A,S004,25.0,mass,3.266710815706025,0.3332891842939749,0.27406426317643884
0.2,A,S005,25.0,mass,2.244884581101708,1.3551154188982921,0.501136759755176
0.2,A,S006,25.0,mass,1.389703563652124,2.210296436347876,0.6911769858550836
0.2,A,S007,25.0,mass,2.017895792464923,1.5821042075350773,0.5515787127855727
0.2,A,S008,25.0,mass,3.3871921605992137,0.2128078394007864,0.24729063097795256
0.2,A,S009,25.0,mass,2.386826189064769,1.2131738109352312,0.46959418020782917
0.2,A,S010,25.0,mass,2.070648912866985,1.5293510871330152,0.53985579714067
0.2,A,S011,25.0,mass,1.219592732890757,2.380407267109243,0.7289793926909429
0.2,A,S012,25.0,mass,3.131140320894202,0.46885967910579796,0.30419103980128837
0.2,A,S013,25.0,mass,2.0740896215792444,1.5259103784207557,0.5390911952046124
0.2,A,S014,25.0,mass,2.425600957984785,1.174399042015215,0.46097756489227004
0.2,A,S015,25.0,mass,2.6192258775659223,0.9807741224340778,0.4179498049853506
0.2,B,S001,30.0,mass,1.2739272592195,1.9260727407805003,0.6815181851951251
0.2,B,S002,30.0,mass,2.998731484757008,0.20126851524299205,0.25031712881074797
0.2,B,S003,30.0,mass,3.0643940237739073,0.13560597622609283,0.23390149405652316
0.2,B,S004,30.0,mass,3.1698171959520103,0.030182804047989897,0.20754570101199743
0.2,B,S005,30.0,mass,2.1782765840940703,1.0217234159059299,0.4554308539764824
0.2,B,S006,30.0,mass,1.3500429687676934,1.8499570312323068,0.6624892578080767
0.2,B,S007,30.0,mass,1.959741220407135,1.2402587795928652,0.5100646948982163
0.2,B,S008,28.801337076453475,energy,3.2000000000009994,-9.992007221626409e-13,0.19999999999975016
0.2,B,S009,30.0,mass,2.316353271218972,0.8836467287810281,0.420911682195257
0.2,B,S010,30.0,mass,2.0109619862815107,1.1890380137184895,0.49725950342962233
0.2,B,S011,30.0,mass,1.183919324197343,2.016080675802657,0.7040201689506642
0.2,B,S012,30.0,mass,3.0388737056611634,0.16112629433883674,0.24028157358470914
0.2,B,S013,30.0,mass,2.0143079296346444,1.1856920703653557,0.4964230175913389
0.2,B,S014,30.0,mass,2.3552338537164266,0.8447661462835736,0.41119153657089336
0.2,B,S015,30.0,mass,2.5444130861278484,0.6555869138721517,0.3638967284680379
0.2,C,S001,80.0,mass,3.0816703507901266,3.3183296492098737,0.6147912061512342
0.2,C,S002,68.86098871616731,energy,6.400000000000997,-9.965361869035405e-13,0.1999999999998754
0.2,C,S003,68.20606654024779,energy,6.4000000000010004,-1.000088900582341e-12,0.19999999999987494
0.2,C,S004,63.697579124274526,energy,6.400000000001,-9.992007221626409e-13,0.19999999999987506
0.2,C,S005,80.0,mass,5.292689896279932,1.107310103720068,0.33841376296500847
0.2,C,S006,80.0,mass,3.2533222222606155,3.146677777739385,0.593334722217423
0.2,C,S007,80.0,mass,4.679425646924123,1.720574353075877,0.4150717941344846
0.2,C,S008,58.904101507183384,energy,6.4000000000010004,-1.000088900582341e-12,0.19999999999987494
0.2,C,S009,80.0,mass,5.669462006564059,0.7305379934359415,0.29131724917949264
0.2,C,S010,80.0,mass,4.858662415328933,1.5413375846710675,0.3926671980838834
0.2,C,S011,80.0,mass,2.853202139268909,3.5467978607310915,0.6433497325913864
0.2,C,S012,68.11873147662503,energy,6.4000000000010004,-1.000088900582341e-12,0.19999999999987494
0.2,C,S013,80.0,mass,4.891412161486293,1.5085878385137077,0.3885734798142134
0.2,C,S014,80.0,mass,5.607619686836495,0.7923803131635054,0.29904753914543813
0.2,C,S015,80.0,mass,6.13298019198351,0.2670198080164905,0.23337747600206127
0.25,A,S001,25.0,mass,1.3126961049072723,2.062303895092728,0.7082897544650506
0.25,A,S002,25.0,mass,3.0904181549535057,0.2845818450464943,0.3132404100103321
0.25,A,S003,25.0,mass,3.1568158522602117,0.21818414773978834,0.29848536616439736
0.25,A,S004,25.0,mass,3.266710815706025,0.10828918429397483,0.27406426317643884
0.25,A,S005,25.0,mass,2.244884581101708,1.130115418898292,0.501136759755176
0.25,A,S006,25.0,mass,1.389703563652124,1.985296436347876,0.6911769858550836
0.25,A,S007,25.0,mass,2.017895792464923,1.3571042075350772,0.5515787127855727
0.25,A,S008,24.56299261935051,energy,3.375000000001,-1.000088900582341e-12,0.24999999999977773
0.25,A,S009,25.0,mass,2.386826189064769,0.9881738109352312,0.46959418020782917
0.25,A,S010,25.0,mass,2.070648912866985,1.304351087133015,0.53985579714067
0.25,A,S011,25.0,mass,1.219592732890757,2.155407267109243,0.7289793926909429
0.25,A,S012,25.0,mass,3.131140320894202,0.24385967910579787,0.30419103980128837
0.25,A,S013,25.0,mass,2.0740896215792444,1.3009103784207556,0.5390911952046124
0.25,A,S014,25.0,mass,2.425600957984785,0.949399042015215,0.46097756489227004
0.25,A,S015,25.0,mass,2.6192258775659223,0.7557741224340777,0.4179498049853506
0.25,B,S001,30.0,mass,1.2739272592195,1.7260727407805,0.6815181851951251
0.25,B,S002,30.0,mass,2.998731484757008,0.0012685152429918745,0.25031712881074797
0.25,B,S003,29.036740066666162,energy,3.000000000001,-1.000088900582341e-12,0.24999999999974998
0.25,B,S004,27.41270032294264,energy,3.000000000000999,-9.992007221626409e-13,0.2499999999997502
0.25,B,S005,30.0,mass,2.1782765840940703,0.8217234159059297,0.4554308539764824
0.25,B,S006,30.0,mass,1.3500429687676934,1.6499570312323066,0.6624892578080767
0.25,B,S007,30.0,mass,1.959741220407135,1.040258779592865,0.5100646948982163
0.25,B,S008,25.48065638593938,energy,3.000000000001,-1.000088900582341e-12,0.24999999999974998
0.25,B,S009,30.0,mass,2.316353271218972,0.683646728781028,0.420911682195257
0.25,B,S010,30.0,mass,2.0109619862815107,0.9890380137184893,0.49725950342962233
0.25,B,S011,30.0,mass,1.183919324197343,1.816080675802657,0.7040201689506642
0.25,B,S012,29.433409008022906,energy,3.000000000001,-1.000088900582341e-12,0.24999999999974998
0.25,B,S013,30.0,mass,2.0143079296346444,0.9856920703653556,0.4964230175913389
0.25,B,S014,30.0,mass,2.3552338537164266,0.6447661462835734,0.41119153657089336
0.25,B,S015,30.0,mass,2.5444130861278484,0.45558691387215156,0.3638967284680379
0.25,C,S001,80.0,mass,3.0816703507901266,2.9183296492098734,0.6147912061512342
0.25,C,S002,62.01621997027175,energy,6.000000000000999,-9.992007221626409e-13,0.2499999999998751
0.25,C,S003,61.144044493582896,energy,6.000000000000998,-9.983125437429408e-13,0.2499999999998752
0.25,C,S004,55.66198298642483,energy,6.000000000001,-1.000088900582341e-12,0.249999999999875
0.25,C,S005,80.0,mass,5.292689896279932,0.7073101037200678,0.33841376296500847
0.25,C,S006,80.0,mass,3.2533222222606155,2.7466777777393845,0.593334722217423
0.25,C,S007,80.0,mass,4.679425646924123,1.3205743530758767,0.4150717941344846
0.25,C,S008,49.70426400958914,energy,6.000000000001,-1.000088900582341e-12,0.249999999999875
0.25,C,S009,80.0,mass,5.669462006564059,0.33053799343594115,0.29131724917949264
0.25,C,S010,80.0,mass,4.858662415328933,1.1413375846710672,0.3926671980838834
0.25,C,S011,80.0,mass,2.853202139268909,3.146797860731091,0.6433497325913864
0.25,C,S012,61.08738633055644,energy,6.000000000000998,-9.983125437429408e-13,0.2499999999998752
0.25,C,S013,80.0,mass,4.891412161486293,1.1085878385137073,0.3885734798142134
0.25,C,S014,80.0,mass,5.607619686836495,0.3923803131635051,0.29904753914543813
0.25,C,S015,78.45471512445499,energy,6.000000000000998,-9.983125437429408e-13,0.2499999999998752
0.3,A,S001,25.0,mass,1.3126961049072723,1.8373038950927276,0.7082897544650506
0.3,A,S002,25.0,mass,3.0904181549535057,0.05958184504649422,0.3132404100103321
0.3,A,S003,24.737813740084302,energy,3.150000000001,-1.000088900582341e-12,0.2999999999997778
0.3,A,S004,20.170628302336844,energy,3.1500000000009996,-9.99644811372491e-13,0.2999999999997779
0.3,A,S005,25.0,mass,2.244884581101708,0.905115418898292,0.501136759755176
0.3,A,S006,25.0,mass,1.389703563652124,1.760296436347876,0.6911769858550836
0.3,A,S007,25.0,mass,2.017895792464923,1.1321042075350771,0.5515787127855727
0.3,A,S008,14.213457411371987,energy,3.1500000000009996,-9.99644811372491e-13,0.2999999999997779
0.3,A,S009,25.0,mass,2.386826189064769,0.7631738109352311,0.46959418020782917
0.3,A,S010,25.0,mass,2.070648912866985,1.079351087133015,0.53985579714067
0.3,A,S011,25.0,mass,1.219592732890757,1.930407267109243,0.7289793926909429
0.3,A,S012,25.0,mass,3.131140320894202,0.018859679105797778,0.30419103980128837
0.3,A,S013,25.0,mass,2.0740896215792444,1.0759103784207555,0.5390911952046124
0.3,A,S014,25.0,mass,2.425600957984785,0.7243990420152149,0.46097756489227004
0.3,A,S015,25.0,mass,2.6192258775659223,0.5307741224340776,0.4179498049853506
0.3,B,S001,30.0,mass,1.2739272592195,1.5260727407805,0.6815181851951251
0.3,B,S002,26.74649312921253,energy,2.800000000000999,-9.992007221626409e-13,0.29999999999975024
0.3,B,S003,25.42689468594851,energy,2.800000000000999,-9.992007221626409e-13,0.29999999999975024
0.3,B,S004,23.442595518502714,energy,2.800000000000999,-9.992007221626409e-13,0.29999999999975024
0.3,B,S005,30.0,mass,2.1782765840940703,0.6217234159059295,0.4554308539764824
0.3,B,S006,30.0,mass,1.3500429687676934,1.4499570312323065,0.6624892578080767
0.3,B,S007,30.0,mass,1.959741220407135,0.8402587795928649,0.5100646948982163
0.3,B,S008,21.001054979127343,energy,2.800000000001,-1.000088900582341e-12,0.29999999999975
0.3,B,S009,30.0,mass,2.316353271218972,0.48364672878102777,0.420911682195257
0.3,B,S010,30.0,mass,2.0109619862815107,0.7890380137184891,0.49725950342962233
0.3,B,S011,30.0,mass,1.183919324197343,1.616080675802657,0.7040201689506642
0.3,B,S012,25.98528814494302,energy,2.800000000000998,-9.983125437429408e-13,0.29999999999975047
0.3,B,S013,30.0,mass,2.0143079296346444,0.7856920703653554,0.4964230175913389
0.3,B,S014,30.0,mass,2.3552338537164266,0.44476614628357325,0.41119153657089336
0.3,B,S015,30.0,mass,2.5444130861278484,0.2555869138721514,0.3638967284680379
0.3,C,S001,80.0,mass,3.0816703507901266,2.518329649209873,0.6147912061512342
0.3,C,S002,52.95263634312505,energy,5.600000000001,-1.000088900582341e-12,0.29999999999987503
0.3,C,S003,51.79519748860265,energy,5.600000000000999,-9.992007221626409e-13,0.29999999999987514
0.3,C,S004,44.7481718066561,energy,5.600000000001,-1.000088900582341e-12,0.29999999999987503
0.3,C,S005,80.0,mass,5.292689896279932,0.3073101037200674,0.33841376296500847
0.3,C,S006,80.0,mass,3.2533222222606155,2.346677777739384,0.593334722217423
0.3,C,S007,80.0,mass,4.679425646924123,0.9205743530758763,0.4150717941344846
0.3,C,S008,36.81326273527404,energy,5.600000000000999,-9.992007221626409e-13,0.29999999999987514
0.3,C,S009,79.15395574375488,energy,5.600000000000996,-9.965361869035405e-13,0.2999999999998755
0.3,C,S010,80.0,mass,4.858662415328933,0.7413375846710668,0.3926671980838834
0.3,C,S011,80.0,mass,2.853202139268909,2.746797860731091,0.6433497325913864
0.3,C,S012,51.758357562409785,energy,5.600000000001,-1.000088900582341e-12,0.29999999999987503
0.3,C,S013,80.0,mass,4.891412161486293,0.708587838513707,0.3885734798142134
0.3,C,S014,79.90546938531935,energy,5.600000000000997,-9.974243653232406e-13,0.29999999999987537
0.3,C,S015,73.00785094993316,energy,5.600000000000999,-9.992007221626409e-13,0.29999999999987514
