pareto_id,parent_gap_id,transport_sortie_id,depth,old_atomic_task_id,start_s,end_s,origin,source,merged_from
P01,P01_G015,M017,0,P01_G015_A00,3016.7251051508374,3953.383813177553,OLD_RESOLVED,E52_EXISTING_SITE,
P01,P01_G016,M019,0,P01_G016_A00,5189.593339776678,6185.514573210624,OLD_RESOLVED,E52_EXISTING_SITE,
P01,P01_G017,M020,0,P01_G017_A00,2502.56368944498,2923.5285106228607,OLD_RESOLVED,E5_REVALIDATED,
P01,P01_G018,M021,0,P01_G018_A00,5315.624044076422,6083.182395741032,OLD_RESOLVED,E52_EXISTING_SITE,
P01,P01_G019,M022,0,P01_G019_A00,7355.713579944701,7376.656634803497,OLD_RESOLVED,E5_REVALIDATED,
P01,P01_G020,M022,0,P01_G020_A00,7388.624094722808,7931.620015515035,OLD_RESOLVED,E5_REVALIDATED,
P01,P01_G021,M022,0,P01_G021_A00,7943.587475434347,7964.530530293142,OLD_RESOLVED,E5_REVALIDATED,
P01,P01_G022,M023,0,P01_G022_A00,7356.969893492841,7709.584504744934,OLD_RESOLVED,E52_EXISTING_SITE,
P01,P01_G023,M024,0,P01_G023_A00,7641.816884597319,8377.74452427877,OLD_RESOLVED,E52_MERGE_BACK,"['P01_G023_A00', 'P01_G023_A01']"
P01,P01_G024,M025,0,P01_G024_A00,3173.532039958184,3564.4968611360646,OLD_RESOLVED,E52_EXISTING_SITE,
P01,P01_G025,M027,0,P01_G025_A00,9404.165880707087,9863.132118088237,OLD_RESOLVED,E52_MERGE_BACK,"['P01_G025_A00', 'P01_G025_A01']"
P02,P02_G000,M001,0,P02_G000_A00,843.9498147315915,1236.3135481153586,OLD_UNRESOLVED,E52_MERGE_BACK,"['P02_G000_A00', 'P02_G000_A00', 'P02_G000_A00', 'P02_G000_A00', 'P02_G000_A01', 'P02_G000_A01', 'P02_G000_A01', 'P02_G000_A01', 'P02_G000_A02', 'P02_G000_A02', 'P02_G000_A02', 'P02_G000_A02', 'P02_G000_A03']"
P02,P02_G001,M001,0,P02_G001_A00,1252.0029130821017,1310.4614283268318,OLD_RESOLVED,E52_EXISTING_SITE,
P02,P02_G002,M002,0,P02_G002_A00,809.1614003372633,1952.6735065821129,OLD_RESOLVED,E52_MERGE_BACK,"['P02_G002_A00', 'P02_G002_A01']"
P02,P02_G003,M003,0,P02_G003_A00,807.2439655639018,1422.556482434358,OLD_RESOLVED,E52_MERGE_BACK,"['P02_G003_A00', 'P02_G003_A01', 'P02_G003_A01', 'P02_G003_A01', 'P02_G003_A01', 'P02_G003_A01', 'P02_G003_A01', 'P02_G003_A02']"
P02,P02_G004,M004,0,P02_G004_A00,714.9294036153034,1480.6790692836205,OLD_RESOLVED,E52_EXISTING_SITE,
P02,P02_G005,M006,0,P02_G005_A00,792.6092964510069,1202.9708623146255,OLD_RESOLVED,E52_EXISTING_SITE,
P02,P02_G006,M007,0,P02_G006_A00,2530.001633700186,2894.2311259847656,OLD_RESOLVED,E52_EXISTING_SITE,
P02,P02_G007,M009,0,P02_G007_A00,836.8733598094886,1789.3170636205425,OLD_RESOLVED,E52_EXISTING_SITE,
P02,P02_G008,M010,0,P02_G008_A00,3872.674419072423,4713.107651000835,OLD_RESOLVED,E5_REVALIDATED,
P02,P02_G009,M011,0,P02_G009_A00,4118.85190024332,4744.087057531303,OLD_RESOLVED,E52_EXISTING_SITE,
P02,P02_G010,M012,0,P02_G010_A00,5944.660060878543,6532.076664992321,OLD_RESOLVED,E5_REVALIDATED,
P02,P02_G011,M013,0,P02_G011_A00,745.855314875907,1292.9711443375293,OLD_RESOLVED,E5_REVALIDATED,
P02,P02_G012,M014,0,P02_G012_A00,5916.316932530872,5937.259987389667,OLD_RESOLVED,E5_REVALIDATED,
P02,P02_G013,M014,0,P02_G013_A00,5949.227447308978,6356.32155332256,OLD_RESOLVED,E5_REVALIDATED,
P02,P02_G014,M014,0,P02_G014_A00,6368.289013241872,6389.232068100667,OLD_RESOLVED,E5_REVALIDATED,
P02,P02_G015,M017,0,P02_G015_A00,2986.7251051508374,3887.383813177553,OLD_RESOLVED,E52_EXISTING_SITE,
P02,P02_G016,M019,0,P02_G016_A00,5123.593339776678,6119.514573210624,OLD_RESOLVED,E5_REVALIDATED,
P02,P02_G017,M020,0,P02_G017_A00,2502.56368944498,2923.5285106228607,OLD_RESOLVED,E5_REVALIDATED,
P02,P02_G018,M021,0,P02_G018_A00,5315.624044076422,6083.182395741032,OLD_RESOLVED,E52_EXISTING_SITE,
P02,P02_G019,M022,0,P02_G019_A00,7355.713579944701,7376.656634803497,OLD_RESOLVED,E5_REVALIDATED,
P02,P02_G020,M022,0,P02_G020_A00,7388.624094722808,7931.620015515035,OLD_RESOLVED,E5_REVALIDATED,
P02,P02_G021,M022,0,P02_G021_A00,7943.587475434347,7964.530530293142,OLD_RESOLVED,E5_REVALIDATED,
P02,P02_G022,M023,0,P02_G022_A00,7433.603522964426,7786.218134216519,OLD_RESOLVED,E52_EXISTING_SITE,
P02,P02_G023,M024,0,P02_G023_A00,7659.827743478527,8395.75538315998,OLD_RESOLVED,E52_EXISTING_SITE,
P02,P02_G024,M025,0,P02_G024_A00,3173.532039958184,3564.4968611360646,OLD_RESOLVED,E52_EXISTING_SITE,
P02,P02_G025,M027,0,P02_G025_A00,9422.176739588298,9881.142976969444,OLD_RESOLVED,E5_REVALIDATED,
P03,P03_G000,M001,0,P03_G000_A00,809.1614003372633,1952.6735065821129,OLD_RESOLVED,E52_EXISTING_SITE,
P03,P03_G001,M002,0,P03_G001_A00,1171.6403334902727,1230.0988487350032,OLD_RESOLVED,E52_EXISTING_SITE,
P03,P03_G002,M002,0,P03_G002_A00,1248.1641088511385,1644.057325684367,OLD_RESOLVED,E52_EXISTING_SITE,
P03,P03_G003,M003,0,P03_G003_A00,807.2439655639018,1422.556482434358,OLD_RESOLVED,E52_EXISTING_SITE,
P03,P03_G004,M004,0,P03_G004_A00,714.9294036153034,1480.6790692836205,OLD_RESOLVED,E52_EXISTING_SITE,
P03,P03_G005,M006,0,P03_G005_A00,792.6092964510069,1202.9708623146255,OLD_RESOLVED,E52_MERGE_BACK,"['P03_G005_A00', 'P03_G005_A01', 'P03_G005_A01', 'P03_G005_A01', 'P03_G005_A01', 'P03_G005_A02', 'P03_G005_A02', 'P03_G005_A02', 'P03_G005_A02', 'P03_G005_A02']"
P03,P03_G006,M007,0,P03_G006_A00,2530.001633700186,2894.2311259847656,OLD_RESOLVED,E52_EXISTING_SITE,
P03,P03_G007,M009,0,P03_G007_A00,836.8733598094886,1789.3170636205425,OLD_RESOLVED,E52_EXISTING_SITE,
P03,P03_G008,M010,0,P03_G008_A00,3872.674419072423,4713.107651000835,OLD_RESOLVED,E5_REVALIDATED,
P03,P03_G009,M011,0,P03_G009_A00,4118.85190024332,4744.087057531303,OLD_RESOLVED,E52_EXISTING_SITE,
P03,P03_G010,M012,0,P03_G010_A00,5944.660060878543,6532.076664992321,OLD_RESOLVED,E5_REVALIDATED,
P03,P03_G011,M013,0,P03_G011_A00,745.855314875907,1292.9711443375293,OLD_RESOLVED,E5_REVALIDATED,
P03,P03_G012,M014,0,P03_G012_A00,5916.316932530872,5937.259987389667,OLD_RESOLVED,E5_REVALIDATED,
P03,P03_G013,M014,0,P03_G013_A00,5949.227447308978,6356.32155332256,OLD_RESOLVED,E5_REVALIDATED,
P03,P03_G014,M014,0,P03_G014_A00,6368.289013241872,6389.232068100667,OLD_RESOLVED,E5_REVALIDATED,
P03,P03_G015,M017,0,P03_G015_A00,2986.7251051508374,3887.383813177553,OLD_RESOLVED,E52_EXISTING_SITE,
P03,P03_G016,M019,0,P03_G016_A00,5123.593339776678,6119.514573210624,OLD_RESOLVED,E5_REVALIDATED,
P03,P03_G017,M020,0,P03_G017_A00,2502.56368944498,2923.5285106228607,OLD_RESOLVED,E5_REVALIDATED,
P03,P03_G018,M021,0,P03_G018_A00,5315.624044076422,6083.182395741032,OLD_RESOLVED,E52_EXISTING_SITE,
P03,P03_G019,M022,0,P03_G019_A00,7355.713579944701,7376.656634803497,OLD_RESOLVED,E5_REVALIDATED,
P03,P03_G020,M022,0,P03_G020_A00,7388.624094722808,7931.620015515035,OLD_RESOLVED,E5_REVALIDATED,
P03,P03_G021,M022,0,P03_G021_A00,7943.587475434347,7964.530530293142,OLD_RESOLVED,E5_REVALIDATED,
P03,P03_G022,M023,0,P03_G022_A00,7433.603522964426,7786.218134216519,OLD_RESOLVED,E52_EXISTING_SITE,
P03,P03_G023,M024,0,P03_G023_A00,7659.827743478527,8395.75538315998,OLD_RESOLVED,E52_EXISTING_SITE,
P03,P03_G024,M025,0,P03_G024_A00,3173.532039958184,3564.4968611360646,OLD_RESOLVED,E52_EXISTING_SITE,
P03,P03_G025,M027,0,P03_G025_A00,9422.176739588298,9881.142976969444,OLD_RESOLVED,E5_REVALIDATED,
