atomic_task_id,site_id,min_access_margin_025s_db,delta_from_05s_db,valid
P01_G020_E52_A000,E52_515a3b7c8d98426ee13f2b4e,7.786538932173912,0.0,True
P01_G020_E52_A000,E52_4cf0fac9feb721651efb2830,6.998212924039663,0.0,True
P01_G021_E52_A000,E52_73baea82bbbffa2db9d7426a,7.930725203801643,0.0,True
P01_G021_E52_A000,E52_e0325aad0b87e7c07e10fc2c,7.650664883183566,0.0,True
P01_G021_E52_A000,E52_27bf01e9e990859ae5993708,7.615172407993995,0.0,True
P01_G022_E52_A000,E52_beb70ec57fd2d66bf65b827f,13.06551082853818,0.0,True
P01_G023_E52_A000,E52_4513f74e4ba51c209cccc792,8.067504058101264,0.0,True
P01_G024_E52_A000,E52_c10a50247c57c0340b451298,23.058866510073486,-3.552713678800501e-15,True
P01_G025_E52_A000,E52_a3836b1674b2d70f748125c1,4.727952780481857,0.0,True
P01_G025_E52_A000,E52_44ed69e1d99dc074a7941a18,4.524182138291295,0.0,True
P01_G025_E52_A000,E52_7547086a1218012670f76a62,13.896729151661106,0.0,True
P02_G000_E52_A000,E52_c10a50247c57c0340b451298,23.32957722616146,0.0,True
P02_G000_E52_A000,E52_246111a1ef063bec9e89ec9e,22.65104920884599,0.0,True
P02_G000_E52_A000,E52_6dc095df8eb6475486134b5c,21.460891736929824,0.0,True
P02_G001_E52_A000,E52_c10a50247c57c0340b451298,21.213392006730743,0.0,True
P02_G002_E52_A000,E52_4513f74e4ba51c209cccc792,7.528195666308719,0.0,True
P02_G003_E52_A000,E52_7ccd1e182a1b2540fd645bfb,17.826951235448703,0.0,True
P02_G003_E52_A000,E52_928897c58ab324fea0c4e2a6,3.6249780683375405,-4.440892098500626e-16,True
P02_G004_E52_A000,E52_96da4f081c74d8211b4b244f,6.937264214523168,0.0,True
P02_G005_E52_A000,E52_beb70ec57fd2d66bf65b827f,13.06551082853818,0.0,True
P02_G006_E52_A000,E52_4d215302190bc5bfb29bf912,9.713639065507849,0.0,True
P02_G007_E52_A000,E52_1ef47ef68c1879e18ddbb164,1.8109249337023954,-2.220446049250313e-16,True
P02_G008_E52_A000,E52_a1af1f4ab7d520e82e20be53,8.721524411760214,0.0,True
P02_G009_E52_A000,E52_b677873645e212a13901ede2,1.2512697614083237,0.0,True
P02_G010_E52_A000,E52_c117f06f984d58b2275e6c48,8.141140511433747,0.0,True
P02_G010_E52_A000,E52_347c51b45a583dd4c5a4aad0,8.132662281496735,0.0,True
P02_G010_E52_A000,E52_9b18c2085562c5280ea1e394,7.57686611502632,0.0,True
P02_G011_E52_A000,E52_eddf192c3626d88d236d26e4,6.598671975907564,0.0,True
P02_G011_E52_A000,E52_eab18c460278cfbad2c20da0,5.9943493619613974,8.881784197001252e-16,True
P02_G011_E52_A000,E52_68694062ed2e2e792aeb51a9,5.965673202353898,0.0,True
P02_G012_E52_A000,E52_214ce9a3b3bd3fa9c582335a,9.01868318516,1.1812772982011666e-12,True
P02_G012_E52_A000,E52_24db349315b2a6b84dd4215d,8.435444036854491,1.2079226507921703e-12,True
P02_G012_E52_A000,E52_27fdcb9bc2da20af468e67a1,8.383638048321075,1.1795009413617663e-12,True
P02_G013_E52_A000,E52_be69bdf55826f2eb34075d09,12.089343064167153,0.0,True
P02_G013_E52_A000,E52_fd527d975e1813662620f82c,11.639873585239812,0.0,True
P02_G014_E52_A000,E52_0c9d91fc306062a18ada9948,7.860539347173827,0.0,True
P02_G014_E52_A000,E52_437c6a333219b14c3939f26c,7.618081777508166,0.0,True
P02_G014_E52_A000,E52_231555d7070bcf1a0911e332,7.597897845457851,0.0,True
P02_G015_E52_A000,E52_96da4f081c74d8211b4b244f,6.937264214523168,0.0,True
P02_G016_E52_A000,E52_189eb019491ad876aa165071,4.910998135102375,0.0,True
P02_G017_E52_A000,E52_dbec4f1422e98765afb262aa,10.873853311460351,0.0,True
P02_G017_E52_A000,E52_9026ce0d2a5dd9a75ef73c8e,0.8353766427972573,0.0,True
P02_G018_E52_A000,E52_b677873645e212a13901ede2,1.2512697614083237,0.0,True
P02_G019_E52_A000,E52_01234cac2d25748209cb57e8,7.665571921562076,0.0,True
P02_G019_E52_A000,E52_6aa461eda22a4c53e6730e81,7.084600655325886,0.0,True
P02_G020_E52_A000,E52_aaa387ee3ee3170bd804334d,0.0961803787852773,0.0,True
P02_G021_E52_A000,E52_8ca7795ffa642a3b129c0a3d,7.894746809915375,0.0,True
P02_G021_E52_A000,E52_1eac4bbcd37cec5d48241661,7.6476739464814045,0.0,True
P02_G022_E52_A000,E52_beb70ec57fd2d66bf65b827f,13.06551082853818,0.0,True
P02_G023_E52_A000,E52_4513f74e4ba51c209cccc792,8.067504058101264,0.0,True
P02_G024_E52_A000,E52_c10a50247c57c0340b451298,23.058866510073486,-3.552713678800501e-15,True
P02_G025_E52_A000,E52_2cea01313b8862fcfb6b2e63,6.264019617413027,0.0,True
P02_G025_E52_A000,E52_60b76d98beea93305f35c25d,6.004471256022072,0.0,True
P02_G025_E52_A000,E52_76b4f0bdabd1ccab126282dd,5.771840641351304,0.0,True
P03_G000_E52_A000,E52_4513f74e4ba51c209cccc792,7.528195666308719,0.0,True
P03_G001_E52_A000,E52_c10a50247c57c0340b451298,21.45397038471387,0.0,True
P03_G002_E52_A000,E52_c10a50247c57c0340b451298,23.058866510073486,-3.552713678800501e-15,True
P03_G003_E52_A000,E52_7ccd1e182a1b2540fd645bfb,17.826951235448703,0.0,True
P03_G004_E52_A000,E52_96da4f081c74d8211b4b244f,6.937264214523168,0.0,True
P03_G005_E52_A000,E52_beb70ec57fd2d66bf65b827f,13.06551082853818,0.0,True
P03_G006_E52_A000,E52_4d215302190bc5bfb29bf912,9.713639065507849,0.0,True
P03_G007_E52_A000,E52_1ef47ef68c1879e18ddbb164,1.8109249337023954,-2.220446049250313e-16,True
P03_G008_E52_A000,E52_a1af1f4ab7d520e82e20be53,8.721524411760214,0.0,True
P03_G009_E52_A000,E52_b677873645e212a13901ede2,1.2512697614083237,0.0,True
P03_G010_E52_A000,E52_c117f06f984d58b2275e6c48,8.141140511433747,0.0,True
P03_G010_E52_A000,E52_347c51b45a583dd4c5a4aad0,8.132662281496735,0.0,True
P03_G010_E52_A000,E52_9b18c2085562c5280ea1e394,7.57686611502632,0.0,True
P03_G011_E52_A000,E52_b7c433bb400c5a28313b13f0,7.568193928118205,0.0,True
P03_G011_E52_A000,E52_dc4c132291b7b9525a26c82f,7.201257348444585,0.0,True
P03_G011_E52_A000,E52_b544b4d7beda1d6ed7fbeefb,7.168393459732144,0.0,True
P03_G012_E52_A000,E52_214ce9a3b3bd3fa9c582335a,9.01868318516,1.1812772982011666e-12,True
P03_G012_E52_A000,E52_24db349315b2a6b84dd4215d,8.435444036854491,1.2079226507921703e-12,True
P03_G012_E52_A000,E52_27fdcb9bc2da20af468e67a1,8.383638048321075,1.1795009413617663e-12,True
P03_G013_E52_A000,E52_be69bdf55826f2eb34075d09,12.089343064167153,0.0,True
P03_G013_E52_A000,E52_fd527d975e1813662620f82c,11.639873585239812,0.0,True
P03_G014_E52_A000,E52_0c9d91fc306062a18ada9948,7.860539347173827,0.0,True
P03_G014_E52_A000,E52_437c6a333219b14c3939f26c,7.618081777508166,0.0,True
P03_G014_E52_A000,E52_231555d7070bcf1a0911e332,7.597897845457851,0.0,True
P03_G015_E52_A000,E52_96da4f081c74d8211b4b244f,6.937264214523168,0.0,True
P03_G016_E52_A000,E52_189eb019491ad876aa165071,4.910998135102375,0.0,True
P03_G017_E52_A000,E52_dbec4f1422e98765afb262aa,10.873853311460351,0.0,True
P03_G017_E52_A000,E52_9026ce0d2a5dd9a75ef73c8e,0.8353766427972573,0.0,True
P03_G018_E52_A000,E52_b677873645e212a13901ede2,1.2512697614083237,0.0,True
P03_G019_E52_A000,E52_01234cac2d25748209cb57e8,7.665571921562076,0.0,True
P03_G019_E52_A000,E52_6aa461eda22a4c53e6730e81,7.084600655325886,0.0,True
P03_G020_E52_A000,E52_aaa387ee3ee3170bd804334d,0.0961803787852773,0.0,True
P03_G021_E52_A000,E52_8ca7795ffa642a3b129c0a3d,7.894746809915375,0.0,True
P03_G021_E52_A000,E52_1eac4bbcd37cec5d48241661,7.6476739464814045,0.0,True
P03_G022_E52_A000,E52_beb70ec57fd2d66bf65b827f,13.06551082853818,0.0,True
P03_G023_E52_A000,E52_4513f74e4ba51c209cccc792,8.067504058101264,0.0,True
P03_G024_E52_A000,E52_c10a50247c57c0340b451298,23.058866510073486,-3.552713678800501e-15,True
P03_G025_E52_A000,E52_2cea01313b8862fcfb6b2e63,6.264019617413027,0.0,True
P03_G025_E52_A000,E52_60b76d98beea93305f35c25d,6.004471256022072,0.0,True
P03_G025_E52_A000,E52_76b4f0bdabd1ccab126282dd,5.771840641351304,0.0,True
