site_id,x_m,y_m,agl_m,lon,lat,ground_elevation_m,z_amsl_m,backhaul_distance_m,backhaul_los,backhaul_margin_db
E52_f36c6c573bbe2629dc740a53,323760.0,2550240.0,200.0,109.27980446554801,23.051346947813407,281.7498474121094,481.7498474121094,6913.289642746721,False,-0.847919888014161
E52_662a1d6f16e81bcab923fa83,323760.0,2550240.0,150.0,109.27980446554801,23.051346947813407,281.7498474121094,431.7498474121094,6911.0540946926385,False,-0.8451106806888191
E52_9fd5052e1e344ef75bffb51d,323760.0,2550240.0,100.0,109.27980446554801,23.051346947813407,281.7498474121094,381.7498474121094,6909.179670194333,False,-0.8427545636065759
E52_d944e4e2080f54bb63af5281,323760.0,2550240.0,50.0,109.27980446554801,23.051346947813407,281.7498474121094,331.7498474121094,6907.6666632290135,False,-0.8408522754493788
E52_1bc761440bc1aa5bf48c9fd6,323400.0,2550000.0,300.0,109.27631949317261,23.04914165685128,295.50018310546875,595.5001831054688,6493.713974367513,False,-0.3040879450716574
E52_4bc9e995fa16caebd5570055,323400.0,2550000.0,250.0,109.27631949317261,23.04914165685128,295.50018310546875,545.5001831054688,6490.457700546655,False,-0.2997313120356182
E52_099f50f51cac8431b6f27985,323400.0,2550000.0,200.0,109.27631949317261,23.04914165685128,295.50018310546875,495.50018310546875,6487.585155069244,False,-0.2958862617946636
E52_5ee95f655a15887a126078dd,323400.0,2550000.0,150.0,109.27631949317261,23.04914165685128,295.50018310546875,445.50018310546875,6485.096847847708,False,-0.2925541578901516
E52_91d9e3b142896d47d5789263,323400.0,2550000.0,100.0,109.27631949317261,23.04914165685128,295.50018310546875,395.50018310546875,6482.993221317892,False,-0.2897361842424573
E52_06c72801667ba3aff6500359,323400.0,2550000.0,50.0,109.27631949317261,23.04914165685128,295.50018310546875,345.50018310546875,6481.274650047102,False,-0.28743334375369045
E52_252772eac0a5dff8c2783e14,323640.0,2549880.0,300.0,109.2786749397901,23.04808365612131,303.1972961425781,603.1972961425781,6591.15853100234,True,9.56654001683171
