rho,kind,uav_type,service_id,payload_limit_kg,binding_constraint,roundtrip_energy_kwh,energy_margin_kwh,return_soc,n_flights,total_energy_kwh,total_time_s
0.1,max_payload,C,S007,80.0,mass,4.549274809362033,2.650725190637967,0.4313406488297459,,,
0.1,max_payload,C,S008,72.36957586207566,energy,7.200000000000997,-9.965361869035405e-13,0.09999999999987541,,,
0.1,max_payload,C,S009,80.0,mass,5.616197502079104,1.583802497920896,0.297975312240112,,,
0.1,max_payload,C,S010,80.0,mass,4.763851565732593,2.436148434267407,0.40451855428342587,,,
0.1,max_payload,C,S011,80.0,mass,2.795935920169904,4.404064079830096,0.650508009978762,,,
0.1,max_payload,C,S012,79.02801588183777,energy,7.200000000000999,-9.992007221626409e-13,0.09999999999987508,,,
0.1,max_payload,C,S013,80.0,mass,4.8104367401165025,2.3895632598834977,0.3986954074854372,,,
0.1,max_payload,C,S014,80.0,mass,5.450130307823977,1.7498696921760235,0.3187337115220029,,,
0.1,max_payload,C,S015,80.0,mass,5.998888930296558,1.2011110697034422,0.25013888371293025,,,
0.1,packing_summary,,,,,,,,18.0,57.887828621723116,32715.599466087642
0.15,max_payload,A,S001,25.0,mass,1.2761760492568546,2.548823950743145,0.7164053223873657,,,
0.15,max_payload,A,S002,25.0,mass,3.0476335175061253,0.7773664824938744,0.322748107220861,,,
0.15,max_payload,A,S003,25.0,mass,3.049832965158003,0.7751670348419966,0.3222593410759993,,,
0.15,max_payload,A,S004,25.0,mass,3.1982053985799093,0.6267946014200905,0.28928768920446457,,,
0.15,max_payload,A,S005,25.0,mass,2.1937267670764857,1.631273232923514,0.5125051628718921,,,
0.15,max_payload,A,S006,25.0,mass,1.3418941370111828,2.483105862988817,0.7018013028864039,,,
0.15,max_payload,A,S007,25.0,mass,1.9272454202432514,1.8977545797567483,0.5717232399459442,,,
0.15,max_payload,A,S008,25.0,mass,3.3317355700588602,0.4932644299411395,0.2596143177646977,,,
0.15,max_payload,A,S009,25.0,mass,2.350108563370547,1.4748914366294525,0.4777536525843229,,,
0.15,max_payload,A,S010,25.0,mass,2.006626652094557,1.818373347905443,0.5540829662012097,,,
0.15,max_payload,A,S011,25.0,mass,1.179299427228862,2.645700572771138,0.7379334606158084,,,
0.15,max_payload,A,S012,25.0,mass,3.0643705417123828,0.760629458287617,0.3190287685083594,,,
0.15,max_payload,A,S013,25.0,mass,2.020456567455234,1.8045434325447656,0.5510096516766146,,,
0.15,max_payload,A,S014,25.0,mass,2.3145078640125383,1.5104921359874615,0.4856649191083249,,,
0.15,max_payload,A,S015,25.0,mass,2.529641495271567,1.2953585047284326,0.43785744549520733,,,
0.15,max_payload,B,S001,30.0,mass,1.238218553719263,2.161781446280737,0.6904453615701842,,,
0.15,max_payload,B,S002,30.0,mass,2.9567618201954327,0.44323817980456726,0.26080954495114184,,,
0.15,max_payload,B,S003,30.0,mass,2.95954730384833,0.4404526961516697,0.26011317403791745,,,
0.15,max_payload,B,S004,30.0,mass,3.1028600094165277,0.2971399905834722,0.22428499764586807,,,
0.15,max_payload,B,S005,30.0,mass,2.1283159888281373,1.2716840111718626,0.46792100279296567,,,
0.15,max_payload,B,S006,30.0,mass,1.3027008910367859,2.097299108963214,0.6743247772408035,,,
0.15,max_payload,B,S007,30.0,mass,1.8706796362810247,1.5293203637189752,0.5323300909297438,,,
0.15,max_payload,B,S008,30.0,mass,3.2326316652202878,0.16736833477971214,0.19184208369492806,,,
0.15,max_payload,B,S009,30.0,mass,2.2802116924624443,1.1197883075375556,0.42994707688438893,,,
0.15,max_payload,B,S010,30.0,mass,1.947705340276292,1.4522946597237079,0.513073664930927,,,
0.15,max_payload,B,S011,30.0,mass,1.1444043127655745,2.2555956872344254,0.7138989218086064,,,
0.15,max_payload,B,S012,30.0,mass,2.9733294218839994,0.4266705781160005,0.25666764452900015,,,
0.15,max_payload,B,S013,30.0,mass,1.9611251412900748,1.4388748587099252,0.5097187146774813,,,
0.15,max_payload,B,S014,30.0,mass,2.246335910659495,1.1536640893405048,0.4384160223351262,,,
0.15,max_payload,B,S015,30.0,mass,2.455724263918715,0.944275736081285,0.3860689340203213,,,
0.15,max_payload,C,S001,80.0,mass,3.030626023934511,3.7693739760654887,0.6211717470081861,,,
0.15,max_payload,C,S002,74.94310844870547,energy,6.800000000000996,-9.965361869035405e-13,0.14999999999987546,,,
0.15,max_payload,C,S003,75.51396675991015,energy,6.800000000000997,-9.974243653232406e-13,0.14999999999987534,,,
0.15,max_payload,C,S004,71.141280245864,energy,6.8000000000009955,-9.956480084838404e-13,0.14999999999987557,,,
0.15,max_payload,C,S005,80.0,mass,5.221678325034157,1.578321674965843,0.3472902093707304,,,
0.15,max_payload,C,S006,80.0,mass,3.1816744252259195,3.6183255747740803,0.6022906968467601,,,
0.15,max_payload,C,S007,80.0,mass,4.549274809362033,2.250725190637967,0.4313406488297459,,,
0.15,max_payload,C,S008,67.0235801533687,energy,6.800000000000999,-9.992007221626409e-13,0.14999999999987512,,,
0.15,max_payload,C,S009,80.0,mass,5.616197502079104,1.1838024979208956,0.297975312240112,,,
0.15,max_payload,C,S010,80.0,mass,4.763851565732593,2.0361484342674068,0.40451855428342587,,,
0.15,max_payload,C,S011,80.0,mass,2.795935920169904,4.004064079830096,0.650508009978762,,,
0.15,max_payload,C,S012,74.75111664167258,energy,6.8000000000009955,-9.956480084838404e-13,0.14999999999987557,,,
0.15,max_payload,C,S013,80.0,mass,4.8104367401165025,1.9895632598834974,0.3986954074854372,,,
0.15,max_payload,C,S014,80.0,mass,5.450130307823977,1.3498696921760232,0.3187337115220029,,,
0.15,max_payload,C,S015,80.0,mass,5.998888930296558,0.8011110697034418,0.25013888371293025,,,
0.15,packing_summary,,,,,,,,18.0,57.887828621723116,32715.599466087642
0.2,max_payload,A,S001,25.0,mass,1.2761760492568546,2.3238239507431455,0.7164053223873657,,,
0.2,max_payload,A,S002,25.0,mass,3.0476335175061253,0.5523664824938748,0.322748107220861,,,
0.2,max_payload,A,S003,25.0,mass,3.049832965158003,0.5501670348419969,0.3222593410759993,,,
0.2,max_payload,A,S004,25.0,mass,3.1982053985799093,0.4017946014200908,0.28928768920446457,,,
0.2,max_payload,A,S005,25.0,mass,2.1937267670764857,1.4062732329235144,0.5125051628718921,,,
0.2,max_payload,A,S006,25.0,mass,1.3418941370111828,2.2581058629888173,0.7018013028864039,,,
0.2,max_payload,A,S007,25.0,mass,1.9272454202432514,1.6727545797567487,0.5717232399459442,,,
0.2,max_payload,A,S008,25.0,mass,3.3317355700588602,0.26826442994113986,0.2596143177646977,,,
0.2,max_payload,A,S009,25.0,mass,2.350108563370547,1.249891436629453,0.4777536525843229,,,
0.2,max_payload,A,S010,25.0,mass,2.006626652094557,1.5933733479054433,0.5540829662012097,,,
0.2,max_payload,A,S011,25.0,mass,1.179299427228862,2.420700572771138,0.7379334606158084,,,
0.2,max_payload,A,S012,25.0,mass,3.0643705417123828,0.5356294582876173,0.3190287685083594,,,
0.2,max_payload,A,S013,25.0,mass,2.020456567455234,1.579543432544766,0.5510096516766146,,,
0.2,max_payload,A,S014,25.0,mass,2.3145078640125383,1.2854921359874618,0.4856649191083249,,,
0.2,max_payload,A,S015,25.0,mass,2.529641495271567,1.070358504728433,0.43785744549520733,,,
0.2,max_payload,B,S001,30.0,mass,1.238218553719263,1.9617814462807373,0.6904453615701842,,,
0.2,max_payload,B,S002,30.0,mass,2.9567618201954327,0.24323817980456752,0.26080954495114184,,,
0.2,max_payload,B,S003,30.0,mass,2.95954730384833,0.24045269615166998,0.26011317403791745,,,
0.2,max_payload,B,S004,30.0,mass,3.1028600094165277,0.09713999058347245,0.22428499764586807,,,
0.2,max_payload,B,S005,30.0,mass,2.1283159888281373,1.0716840111718628,0.46792100279296567,,,
0.2,max_payload,B,S006,30.0,mass,1.3027008910367859,1.8972991089632143,0.6743247772408035,,,
0.2,max_payload,B,S007,30.0,mass,1.8706796362810247,1.3293203637189754,0.5323300909297438,,,
0.2,max_payload,B,S008,29.56336832097877,energy,3.2000000000009994,-9.992007221626409e-13,0.19999999999975016,,,
0.2,max_payload,B,S009,30.0,mass,2.2802116924624443,0.9197883075375559,0.42994707688438893,,,
0.2,max_payload,B,S010,30.0,mass,1.947705340276292,1.2522946597237081,0.513073664930927,,,
0.2,max_payload,B,S011,30.0,mass,1.1444043127655745,2.0555956872344257,0.7138989218086064,,,
0.2,max_payload,B,S012,30.0,mass,2.9733294218839994,0.22667057811600078,0.25666764452900015,,,
0.2,max_payload,B,S013,30.0,mass,1.9611251412900748,1.2388748587099254,0.5097187146774813,,,
0.2,max_payload,B,S014,30.0,mass,2.246335910659495,0.9536640893405051,0.4384160223351262,,,
0.2,max_payload,B,S015,30.0,mass,2.455724263918715,0.7442757360812853,0.3860689340203213,,,
0.2,max_payload,C,S001,80.0,mass,3.030626023934511,3.3693739760654893,0.6211717470081861,,,
0.2,max_payload,C,S002,69.71194079946308,energy,6.400000000000999,-9.983125437429408e-13,0.19999999999987517,,,
0.2,max_payload,C,S003,70.34403732982696,energy,6.4000000000010004,-1.000088900582341e-12,0.19999999999987494,,,
0.2,max_payload,C,S004,65.20031397962306,energy,6.400000000000999,-9.983125437429408e-13,0.19999999999987517,,,
0.2,max_payload,C,S005,80.0,mass,5.221678325034157,1.1783216749658436,0.3472902093707304,,,
0.2,max_payload,C,S006,80.0,mass,3.1816744252259195,3.218325574774081,0.6022906968467601,,,
0.2,max_payload,C,S007,80.0,mass,4.549274809362033,1.8507251906379674,0.4313406488297459,,,
0.2,max_payload,C,S008,60.28288006842466,energy,6.400000000000997,-9.965361869035405e-13,0.1999999999998754,,,
0.2,max_payload,C,S009,80.0,mass,5.616197502079104,0.7838024979208962,0.297975312240112,,,
0.2,max_payload,C,S010,80.0,mass,4.763851565732593,1.6361484342674073,0.40451855428342587,,,
0.2,max_payload,C,S011,80.0,mass,2.795935920169904,3.6040640798300965,0.650508009978762,,,
0.2,max_payload,C,S012,69.47127226177194,energy,6.400000000000999,-9.983125437429408e-13,0.19999999999987517,,,
0.2,max_payload,C,S013,80.0,mass,4.8104367401165025,1.589563259883498,0.3986954074854372,,,
0.2,max_payload,C,S014,80.0,mass,5.450130307823977,0.9498696921760237,0.3187337115220029,,,
0.2,max_payload,C,S015,80.0,mass,5.998888930296558,0.40111106970344235,0.25013888371293025,,,
0.2,packing_summary,,,,,,,,18.0,57.887828621723116,32715.599466087642
0.25,max_payload,A,S001,25.0,mass,1.2761760492568546,2.0988239507431454,0.7164053223873657,,,
0.25,max_payload,A,S002,25.0,mass,3.0476335175061253,0.3273664824938747,0.322748107220861,,,
0.25,max_payload,A,S003,25.0,mass,3.049832965158003,0.3251670348419968,0.3222593410759993,,,
0.25,max_payload,A,S004,25.0,mass,3.1982053985799093,0.17679460142009074,0.28928768920446457,,,
0.25,max_payload,A,S005,25.0,mass,2.1937267670764857,1.1812732329235143,0.5125051628718921,,,
0.25,max_payload,A,S006,25.0,mass,1.3418941370111828,2.0331058629888172,0.7018013028864039,,,
0.25,max_payload,A,S007,25.0,mass,1.9272454202432514,1.4477545797567486,0.5717232399459442,,,
0.25,max_payload,A,S008,25.0,mass,3.3317355700588602,0.04326442994113977,0.2596143177646977,,,
0.25,max_payload,A,S009,25.0,mass,2.350108563370547,1.0248914366294528,0.4777536525843229,,,
0.25,max_payload,A,S010,25.0,mass,2.006626652094557,1.3683733479054432,0.5540829662012097,,,
0.25,max_payload,A,S011,25.0,mass,1.179299427228862,2.195700572771138,0.7379334606158084,,,
0.25,max_payload,A,S012,25.0,mass,3.0643705417123828,0.31062945828761723,0.3190287685083594,,,
0.25,max_payload,A,S013,25.0,mass,2.020456567455234,1.3545434325447658,0.5510096516766146,,,
0.25,max_payload,A,S014,25.0,mass,2.3145078640125383,1.0604921359874617,0.4856649191083249,,,
0.25,max_payload,A,S015,25.0,mass,2.529641495271567,0.8453585047284329,0.43785744549520733,,,
0.25,max_payload,B,S001,30.0,mass,1.238218553719263,1.761781446280737,0.6904453615701842,,,
0.25,max_payload,B,S002,30.0,mass,2.9567618201954327,0.043238179804567345,0.26080954495114184,,,
0.25,max_payload,B,S003,30.0,mass,2.95954730384833,0.0404526961516698,0.26011317403791745,,,
0.25,max_payload,B,S004,28.490908043521195,energy,3.000000000001,-1.000088900582341e-12,0.24999999999974998,,,
0.25,max_payload,B,S005,30.0,mass,2.1283159888281373,0.8716840111718627,0.46792100279296567,,,
0.25,max_payload,B,S006,30.0,mass,1.3027008910367859,1.6972991089632141,0.6743247772408035,,,
0.25,max_payload,B,S007,30.0,mass,1.8706796362810247,1.1293203637189753,0.5323300909297438,,,
0.25,max_payload,B,S008,26.450415199673074,energy,3.000000000000999,-9.992007221626409e-13,0.2499999999997502,,,
0.25,max_payload,B,S009,30.0,mass,2.2802116924624443,0.7197883075375557,0.42994707688438893,,,
0.25,max_payload,B,S010,30.0,mass,1.947705340276292,1.052294659723708,0.513073664930927,,,
0.25,max_payload,B,S011,30.0,mass,1.1444043127655745,1.8555956872344255,0.7138989218086064,,,
0.25,max_payload,B,S012,30.0,mass,2.9733294218839994,0.0266705781160006,0.25666764452900015,,,
0.25,max_payload,B,S013,30.0,mass,1.9611251412900748,1.0388748587099252,0.5097187146774813,,,
0.25,max_payload,B,S014,30.0,mass,2.246335910659495,0.7536640893405049,0.4384160223351262,,,
0.25,max_payload,B,S015,30.0,mass,2.455724263918715,0.5442757360812851,0.3860689340203213,,,
0.25,max_payload,C,S001,80.0,mass,3.030626023934511,2.969373976065489,0.6211717470081861,,,
0.25,max_payload,C,S002,63.07286097019457,energy,6.000000000000997,-9.974243653232406e-13,0.24999999999987532,,,
0.25,max_payload,C,S003,63.79640947928124,energy,6.000000000000998,-9.983125437429408e-13,0.2499999999998752,,,
0.25,max_payload,C,S004,57.5519320261224,energy,6.000000000001,-1.000088900582341e-12,0.249999999999875,,,
0.25,max_payload,C,S005,80.0,mass,5.221678325034157,0.7783216749658433,0.3472902093707304,,,
0.25,max_payload,C,S006,80.0,mass,3.1816744252259195,2.8183255747740805,0.6022906968467601,,,
0.25,max_payload,C,S007,80.0,mass,4.549274809362033,1.450725190637967,0.4313406488297459,,,
0.25,max_payload,C,S008,51.45220193044118,energy,6.000000000001,-1.000088900582341e-12,0.249999999999875,,,
0.25,max_payload,C,S009,80.0,mass,5.616197502079104,0.3838024979208958,0.297975312240112,,,
0.25,max_payload,C,S010,80.0,mass,4.763851565732593,1.236148434267407,0.40451855428342587,,,
0.25,max_payload,C,S011,80.0,mass,2.795935920169904,3.204064079830096,0.650508009978762,,,
0.25,max_payload,C,S012,62.76670905895173,energy,6.000000000001,-1.000088900582341e-12,0.249999999999875,,,
0.25,max_payload,C,S013,80.0,mass,4.8104367401165025,1.1895632598834975,0.3986954074854372,,,
0.25,max_payload,C,S014,80.0,mass,5.450130307823977,0.5498696921760233,0.3187337115220029,,,
0.25,max_payload,C,S015,80.0,mass,5.998888930296558,0.0011110697034419914,0.25013888371293025,,,
0.25,packing_summary,,,,,,,,19.0,59.77772206371674,34505.247477260884
0.3,max_payload,A,S001,25.0,mass,1.2761760492568546,1.8738239507431453,0.7164053223873657,,,
0.3,max_payload,A,S002,25.0,mass,3.0476335175061253,0.10236648249387459,0.322748107220861,,,
0.3,max_payload,A,S003,25.0,mass,3.049832965158003,0.10016703484199674,0.3222593410759993,,,
0.3,max_payload,A,S004,23.100082023736192,energy,3.1500000000009996,-9.99644811372491e-13,0.2999999999997779,,,
0.3,max_payload,A,S005,25.0,mass,2.1937267670764857,0.9562732329235142,0.5125051628718921,,,
0.3,max_payload,A,S006,25.0,mass,1.3418941370111828,1.8081058629888171,0.7018013028864039,,,
0.3,max_payload,A,S007,25.0,mass,1.9272454202432514,1.2227545797567485,0.5717232399459442,,,
0.3,max_payload,A,S008,17.10542242877493,energy,3.150000000001,-1.000088900582341e-12,0.2999999999997778,,,
0.3,max_payload,A,S009,25.0,mass,2.350108563370547,0.7998914366294527,0.4777536525843229,,,
0.3,max_payload,A,S010,25.0,mass,2.006626652094557,1.143373347905443,0.5540829662012097,,,
0.3,max_payload,A,S011,25.0,mass,1.179299427228862,1.970700572771138,0.7379334606158084,,,
0.3,max_payload,A,S012,25.0,mass,3.0643705417123828,0.08562945828761714,0.3190287685083594,,,
0.3,max_payload,A,S013,25.0,mass,2.020456567455234,1.1295434325447657,0.5510096516766146,,,
0.3,max_payload,A,S014,25.0,mass,2.3145078640125383,0.8354921359874616,0.4856649191083249,,,
0.3,max_payload,A,S015,25.0,mass,2.529641495271567,0.6203585047284328,0.43785744549520733,,,
0.3,max_payload,B,S001,30.0,mass,1.238218553719263,1.561781446280737,0.6904453615701842,,,
0.3,max_payload,B,S002,27.497626212720732,energy,2.800000000001,-1.000088900582341e-12,0.29999999999975,,,
0.3,max_payload,B,S003,27.41252833960033,energy,2.800000000001,-1.000088900582341e-12,0.29999999999975,,,
0.3,max_payload,B,S004,24.85846740871282,energy,2.800000000000999,-9.992007221626409e-13,0.29999999999975024,,,
0.3,max_payload,B,S005,30.0,mass,2.1283159888281373,0.6716840111718625,0.46792100279296567,,,
0.3,max_payload,B,S006,30.0,mass,1.3027008910367859,1.497299108963214,0.6743247772408035,,,
0.3,max_payload,B,S007,30.0,mass,1.8706796362810247,0.9293203637189751,0.5323300909297438,,,
0.3,max_payload,B,S008,22.291418891241392,energy,2.800000000001,-1.000088900582341e-12,0.29999999999975,,,
0.3,max_payload,B,S009,30.0,mass,2.2802116924624443,0.5197883075375556,0.42994707688438893,,,
0.3,max_payload,B,S010,30.0,mass,1.947705340276292,0.8522946597237078,0.513073664930927,,,
0.3,max_payload,B,S011,30.0,mass,1.1444043127655745,1.6555956872344253,0.7138989218086064,,,
0.3,max_payload,B,S012,27.20042398109438,energy,2.800000000000999,-9.992007221626409e-13,0.29999999999975024,,,
0.3,max_payload,B,S013,30.0,mass,1.9611251412900748,0.8388748587099251,0.5097187146774813,,,
0.3,max_payload,B,S014,30.0,mass,2.246335910659495,0.5536640893405047,0.4384160223351262,,,
0.3,max_payload,B,S015,30.0,mass,2.455724263918715,0.3442757360812849,0.3860689340203213,,,
0.3,max_payload,C,S001,80.0,mass,3.030626023934511,2.5693739760654886,0.6211717470081861,,,
0.3,max_payload,C,S002,54.307846860344284,energy,5.600000000001,-1.000088900582341e-12,0.29999999999987503,,,
0.3,max_payload,C,S003,55.18700876494158,energy,5.600000000001,-1.000088900582341e-12,0.29999999999987503,,,
0.3,max_payload,C,S004,47.22460152771113,energy,5.600000000000998,-9.983125437429408e-13,0.29999999999987526,,,
0.3,max_payload,C,S005,80.0,mass,5.221678325034157,0.3783216749658429,0.3472902093707304,,,
0.3,max_payload,C,S006,80.0,mass,3.1816744252259195,2.41832557477408,0.6022906968467601,,,
0.3,max_payload,C,S007,80.0,mass,4.549274809362033,1.0507251906379667,0.4313406488297459,,,
0.3,max_payload,C,S008,39.14991143605903,energy,5.600000000000999,-9.992007221626409e-13,0.29999999999987514,,,
0.3,max_payload,C,S009,79.80513424421815,energy,5.600000000000999,-9.992007221626409e-13,0.29999999999987514,,,
0.3,max_payload,C,S010,80.0,mass,4.763851565732593,0.8361484342674066,0.40451855428342587,,,
0.3,max_payload,C,S011,80.0,mass,2.795935920169904,2.8040640798300958,0.650508009978762,,,
0.3,max_payload,C,S012,53.91087340920386,energy,5.600000000001,-1.000088900582341e-12,0.29999999999987503,,,
0.3,max_payload,C,S013,80.0,mass,4.8104367401165025,0.7895632598834972,0.3986954074854372,,,
0.3,max_payload,C,S014,80.0,mass,5.450130307823977,0.14986969217602297,0.3187337115220029,,,
0.3,max_payload,C,S015,74.9258346193492,energy,5.600000000000998,-9.983125437429408e-13,0.29999999999987526,,,
0.3,packing_summary,,,,,,,,20.0,65.88234046803846,36522.31720548912
